,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_433611252,0,0.007862392435082133,0.23363376,5.97805792732684,2.8654767e-10,0.9368259,0.0041734977858141065,0.3755950555205345,0.3051019
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_433611252,1,0.01335789754215777,0.06277352,7.614118337018539,1.1510792e-08,0.36129603,0.005115439533255994,0.08833994343876839,0.08718703
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_433611252,2,0.00940358028766608,0.14504763,7.083096926294234,7.531526e-09,0.74167657,0.027302061673253775,0.21798771247267723,0.1418418
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_433611252,3,-0.0048298166729383585,0.13519812,9.88124284134069,5.5375097e-08,1.3166091,0.030253056902438402,0.08492019027471542,0.23535295
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_960745502,0,0.015462639424707714,0.22773111,4.724084882671481,4.442063e-08,0.6759828,0.07107719965279102,0.34082379192113876,0.17263581
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_960745502,1,0.017084383518565782,0.16429669,3.6672840867121765,1.14135275e-07,0.3810243,0.03552795760333538,0.28147711604833603,0.12500645
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_960745502,2,0.010656913799730106,0.03875955,6.737521261618573,1.39843905e-08,0.18768029,0.0041697792476043105,0.05779749061912298,0.047227956
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_960745502,3,0.04122035233196242,0.01864109,10.946638723573528,1.3682944e-10,0.23663588,0.0009868361812550575,0.012651944300159812,0.041363914
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_759352143,0,0.009575057485311622,0.13225937,6.6075965410137885,3.8131134e-09,0.61506903,0.018949394579976797,0.20284579694271088,0.16002168
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_759352143,1,0.028198889738168975,0.07952812,9.279769872304218,2.2873996e-07,0.6715435,0.009024547412991524,0.08085446991026402,0.13239145
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_759352143,2,0.003968397878977736,0.05797213,4.9696510181681095,1.6760225e-08,0.18610643,0.013144010677933693,0.0965624526143074,0.05287483
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_759352143,3,0.0068918928201223695,0.0356545,7.608854944825708,6.227822e-09,0.20418,0.004748067352920771,0.0461032260209322,0.042871043
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_37078787,0,0.01693739709062647,0.15617812,9.22370499837456,9.255109e-08,1.306573,0.016547791659832,0.12152443639934063,0.27643812
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_37078787,1,0.025023115821678932,0.10427332,8.079845482726384,4.019232e-08,0.6819024,0.011962636839598417,0.14942271262407303,0.13499324
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_37078787,2,0.013606906160429588,0.05891595,10.863504005557933,2.0532967e-08,0.730768,0.004471420776098967,0.058081695809960365,0.1292305
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,843395704,perlin_37078787,3,-0.0028347615393373715,0.04903678,11.81925681362876,4.584763e-09,0.74445,0.0057930079055950046,0.03749279771000147,0.107165776
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_433611252,0,0.007799460623192256,0.23364857,5.977782704746081,4.136215e-09,0.9311292,0.0045077415416017175,0.38027190417051315,0.30396646
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_433611252,1,0.013588236051845892,0.062758856,7.615131852691772,2.8715338e-08,0.3654529,0.005151640973053873,0.08819459192454815,0.087519884
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_433611252,2,0.009375590756337537,0.14505175,7.082974152006365,4.5253618e-08,0.74756587,0.026155642699450254,0.2172728069126606,0.14162998
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_433611252,3,-0.004429237540914288,0.13514423,9.88297407850187,6.3725895e-07,1.3242649,0.029960873536765575,0.08685657382011414,0.23597807
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_960745502,0,0.015329077185301743,0.227762,4.723495820729632,7.8145845e-10,0.6816206,0.07014236226677895,0.340501070022583,0.17273165
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_960745502,1,0.017006881090762538,0.16430964,3.666941950303657,1.3259572e-06,0.3852949,0.035771037451922894,0.2791123241186142,0.12506163
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_960745502,2,0.011879518763422303,0.038711652,6.74289109646881,2.1325164e-10,0.1846027,0.003974275779910386,0.05896223150193691,0.04689789
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_960745502,3,0.04194595609775298,0.018626982,10.949927283969123,5.4891167e-09,0.23326987,0.001042230986058712,0.012798013864085078,0.0410103
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_759352143,0,0.009791544440122757,0.13223046,6.6085458767928,8.484973e-10,0.60959214,0.018345695920288563,0.2052420899271965,0.16012892
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_759352143,1,0.0282131039513982,0.07952696,9.279833194261776,3.505065e-08,0.6755557,0.008486098609864712,0.08129926025867462,0.13241003
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_759352143,2,0.004866241460907306,0.057919875,4.973567336177666,1.3172013e-07,0.18312985,0.013173310086131096,0.09783809073269367,0.053040493
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_759352143,3,0.00767216404113269,0.035626486,7.612268538414871,9.265992e-08,0.20731787,0.004752935259602964,0.0450146459043026,0.043195777
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_37078787,0,0.01688702125657804,0.1561861,9.223483006848845,6.6001213e-09,1.3142133,0.016546814236789942,0.12147052399814129,0.27691162
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_37078787,1,0.024941642543307996,0.10428202,8.079482777205714,4.7356966e-08,0.675958,0.01157745672389865,0.15097800269722939,0.13544156
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_37078787,2,0.013855707157211183,0.05890109,10.864599609985259,2.465189e-09,0.724617,0.004836188163608313,0.05777351278811693,0.12817879
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,37626750,perlin_37078787,3,-0.002052668831798332,0.048998535,11.822644689897462,9.7603925e-11,0.75025624,0.006096889730542898,0.03784732334315777,0.107910044
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_433611252,0,0.007906067492209456,0.23362349,5.978249381370155,2.7637412e-09,0.9312644,0.004492886713705957,0.3752901777625084,0.30404192
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_433611252,1,0.013554638579721612,0.062760994,7.614984486587,2.9713703e-08,0.36539415,0.005151025136001408,0.08820302411913872,0.087528184
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_433611252,2,0.009458714525068412,0.14503957,7.083338804888497,1.0817418e-07,0.7475457,0.026189887896180153,0.21714132279157639,0.14164285
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_433611252,3,-0.004747399477433412,0.13518703,9.881598675923604,8.3884527e-07,1.3244805,0.02996194176375866,0.08686311542987823,0.23601088
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_960745502,0,0.015529695043298819,0.22771558,4.724381201790519,2.1168777e-08,0.68158704,0.07015924341976643,0.34066449105739594,0.1728071
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_960745502,1,0.01716735726360341,0.16428281,3.6676506464811713,1.3521667e-06,0.38523358,0.03574402816593647,0.27926260232925415,0.12513568
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_960745502,2,0.01087273174898451,0.038751096,6.738467943184572,2.161471e-11,0.18475233,0.003976065432652831,0.058916605077683926,0.046919487
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_960745502,3,0.04176702312851455,0.018630462,10.949116561920018,6.450862e-11,0.23332255,0.0010331137164030224,0.012805679580196738,0.04102087
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_759352143,0,0.009671687067072776,0.13224646,6.608020416293023,7.493264e-09,0.6097223,0.018443974666297436,0.20528139173984528,0.1601407
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_759352143,1,0.02835875738065896,0.07951504,9.28048417413606,1.0942447e-08,0.67551774,0.00885057169944048,0.08131057024002075,0.13237484
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_759352143,2,0.004101715666603334,0.05796437,4.970232385202775,1.2450982e-07,0.1831698,0.01319488463923335,0.09778811223804951,0.05304933
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_759352143,3,0.00715656500034223,0.035644997,7.610012216274837,9.889396e-08,0.20726305,0.00474743265658617,0.04502916615456343,0.04320197
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_37078787,0,0.01702755351502061,0.15616378,9.224103852764312,3.8923886e-10,1.3144119,0.016685340087860823,0.12155412510037422,0.27689278
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_37078787,1,0.025146689189612048,0.104260094,8.080396047296873,7.0589955e-08,0.6763126,0.01144323218613863,0.15099502354860306,0.13545126
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_37078787,2,0.013803165280974139,0.058904223,10.864368999107699,1.2366996e-09,0.72498083,0.0048344137612730265,0.0577909154817462,0.12823631
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,892206825,perlin_37078787,3,-0.0026452266265470925,0.04902751,11.820077353203136,1.2018264e-08,0.7503683,0.006082555511966348,0.037858789786696434,0.10792966
