,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,MLP x  4 @ [1],1017856187,,perlin_778030991,MLP,4,0,10,2,1,-0.0006234266904812102,0.09278427,7.823167826082208,1.2316588e-08,0.56340086,0.0067988879745826125,0.0845156479626894,0.14867918
1,MLP x  4 @ [1],1017856187,,perlin_778030991,MLP,4,1,10,2,1,-0.0014825198190713262,0.08464353,6.370028342876899,2.5631755e-07,0.3669083,0.014973523560911417,0.10919457860291004,0.097468734
2,MLP x  4 @ [1],1017856187,,perlin_778030991,MLP,4,2,10,2,1,-0.0010661512440028886,0.07535663,6.506669614359079,9.692791e-09,0.33745396,0.013707136735320091,0.10670900158584118,0.0822568
3,MLP x  4 @ [1],1017856187,,perlin_778030991,MLP,4,3,10,2,1,-0.0013489992761106517,0.040237986,8.213328103532573,4.0066947e-08,0.26655975,0.008944137254729867,0.04180972184985876,0.056826584
4,MLP x  4 @ [1],1017856187,,perlin_297699213,MLP,4,0,10,2,1,-0.0003169421608355538,0.17097302,6.536580051269988,4.1971912e-08,0.7702211,0.04078095033764839,0.19888253509998322,0.19756891
5,MLP x  4 @ [1],1017856187,,perlin_297699213,MLP,4,1,10,2,1,-0.0006961208849620704,0.09866178,7.512151753241393,1.559388e-08,0.5569034,0.007750623626634479,0.13359512388706207,0.12944616
6,MLP x  4 @ [1],1017856187,,perlin_297699213,MLP,4,2,10,2,1,-0.0004364644516396954,0.096265964,5.562692869805481,1.773668e-10,0.34691712,0.00956214894540608,0.16544907167553902,0.09673672
7,MLP x  4 @ [1],1017856187,,perlin_297699213,MLP,4,3,10,2,1,-0.0005584108727911818,0.06694195,8.391468634256011,2.131784e-09,0.4622276,0.005080208298750222,0.07479353435337543,0.09863544
8,MLP x  4 @ [1],1017856187,,perlin_873099211,MLP,4,0,10,2,1,-0.0003955447177670379,0.1747781,4.991650379138707,5.8320836e-07,0.55138874,0.0176622006110847,0.31799501180648804,0.18008615
9,MLP x  4 @ [1],1017856187,,perlin_873099211,MLP,4,1,10,2,1,-0.0005453473643561857,0.14311683,7.104830842808683,2.2942108e-07,0.73520744,0.028538751881569624,0.18725917115807533,0.1668065
10,MLP x  4 @ [1],1017856187,,perlin_873099211,MLP,4,2,10,2,1,-0.0008654222318644766,0.061173875,6.509863785184927,1.01345705e-07,0.27383927,0.006771511514671147,0.10191961005330086,0.077787966
11,MLP x  4 @ [1],1017856187,,perlin_873099211,MLP,4,3,10,2,1,-0.0003033397780292102,0.035015583,9.6089424277962,1.0510348e-08,0.32010686,0.0010632087069097906,0.04089583456516266,0.06072826
12,MLP x  4 @ [1],1017856187,,perlin_46852263,MLP,4,0,10,2,1,-0.00033147875341654753,0.18673767,5.707023061095061,1.0945711e-09,0.69469815,0.012734613148495555,0.3126162216067314,0.21186972
13,MLP x  4 @ [1],1017856187,,perlin_46852263,MLP,4,1,10,2,1,-0.0009242694767970239,0.050079897,7.434997225501321,2.6724614e-09,0.2776614,0.005276583018712699,0.07857142575085163,0.06107318
14,MLP x  4 @ [1],1017856187,,perlin_46852263,MLP,4,2,10,2,1,-0.00024332928277193133,0.12343896,4.942657324317259,7.1385976e-08,0.38535893,0.009895715629681945,0.226554524153471,0.122206405
15,MLP x  4 @ [1],1017856187,,perlin_46852263,MLP,4,3,10,2,1,-0.0002678834197484825,0.10465032,8.134032602728727,1.945236e-07,0.6805963,0.01624662382528186,0.1104156319051981,0.1544984
0,MLP x  4 @ [1],254850553,,perlin_778030991,MLP,4,0,10,2,1,-0.011673509829683626,0.093808904,7.775470105738065,2.3074696e-07,0.68226117,0.006404790445230901,0.08833116292953491,0.15120485
1,MLP x  4 @ [1],254850553,,perlin_778030991,MLP,4,1,10,2,1,-0.029630905661001572,0.08702257,6.249646800758341,1.8116032e-07,0.41483602,0.01534799300134182,0.11435602977871895,0.1002664
2,MLP x  4 @ [1],254850553,,perlin_778030991,MLP,4,2,10,2,1,-0.021767438429637354,0.07691495,6.417777399743393,2.1216138e-07,0.3236763,0.013760881265625358,0.1119458731263876,0.083756536
