,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_433611252,0,0.007861676233964499,0.23363394,5.978054805758561,3.652886e-09,0.9310431,0.004491452593356371,0.37806640565395355,0.30402938
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_433611252,1,0.013571287187969627,0.062759936,7.61505773905686,8.338304e-09,0.36534905,0.00513915647752583,0.08814903534948826,0.08751976
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_433611252,2,0.009425084486617719,0.14504449,7.08319129639559,1.1325098e-07,0.74745524,0.026196233928203583,0.21721844002604485,0.14164177
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_433611252,3,-0.004611099886412839,0.13516869,9.882188160840252,8.5199827e-07,1.3241938,0.029932002536952496,0.08688920736312866,0.23598062
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_960745502,0,0.015445639785954701,0.22773504,4.724009749442483,2.3465319e-08,0.681506,0.07018604688346386,0.34062783420085907,0.17277484
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_960745502,1,0.01710100558756822,0.16429392,3.6673580787264983,1.5444446e-06,0.38518828,0.03573166858404875,0.2792668789625168,0.1251028
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_960745502,2,0.011310179105169516,0.038733955,6.7403895896477595,5.7121383e-09,0.1847384,0.0039857832016423345,0.05890785250812769,0.046914313
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_960745502,3,0.041852805173164254,0.018628795,10.949504027227515,1.2490009e-12,0.23338221,0.0010359715961385518,0.012809512903913856,0.04102422
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_759352143,0,0.009724910927169983,0.13223934,6.608253635650013,8.872328e-09,0.6098,0.01831587264314294,0.2053028717637062,0.1601386
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,376563683,perlin_759352143,1,0.028300817226067032,0.079519786,9.28022521093703,8.601603e-09,0.6754388,0.008594743674620986,0.0812754686921835,0.13239479
