,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,abf cubic_spline x  1 @ [1],1050666582,,perlin_778030991,abf cubic_spline,1,0,1,1,1,-3.0732358879959065e-09,0.09272656,7.825869942106816,4.0219086e-10,0.56206816,0.006766610662452877,0.08443306386470795,0.14850536
1,abf cubic_spline x  1 @ [1],1050666582,,perlin_778030991,abf cubic_spline,1,1,1,1,1,-4.43945813444202e-09,0.084518366,6.376864592867238,3.8078014e-08,0.36697367,0.014813280897215009,0.10890798643231392,0.097370006
2,abf cubic_spline x  1 @ [1],1050666582,,perlin_778030991,abf cubic_spline,1,2,1,1,1,1.0747603917948823e-09,0.07527636,6.511298479295591,1.4211818e-10,0.33712545,0.013659587129950523,0.10587245784699917,0.082196735
3,abf cubic_spline x  1 @ [1],1050666582,,perlin_778030991,abf cubic_spline,1,3,1,1,1,2.1632889923850485e-09,0.040183872,8.219132535910711,2.1179922e-07,0.2666663,0.008974311174824834,0.04190466646105051,0.05676249
4,abf cubic_spline x  1 @ [1],1050666582,,perlin_297699213,abf cubic_spline,1,0,1,1,1,-2.227445561331365e-09,0.17091908,6.537950830306554,5.880663e-10,0.77016455,0.040623243898153305,0.1989344134926796,0.19743234
5,abf cubic_spline x  1 @ [1],1050666582,,perlin_297699213,abf cubic_spline,1,1,1,1,1,5.691513260686065e-09,0.09859328,7.515168559991521,2.173009e-08,0.5563678,0.007762099034152925,0.13285961374640465,0.12936527
6,abf cubic_spline x  1 @ [1],1050666582,,perlin_297699213,abf cubic_spline,1,2,1,1,1,-1.056417087141881e-08,0.09622388,5.564592400419713,6.198986e-08,0.34653315,0.009601567639037967,0.16518395021557808,0.09661255
7,abf cubic_spline x  1 @ [1],1050666582,,perlin_297699213,abf cubic_spline,1,3,1,1,1,-1.0210456258263889e-08,0.06690459,8.393893277515506,5.1257287e-09,0.46221375,0.005111299222335219,0.07497532293200493,0.09851717
8,abf cubic_spline x  1 @ [1],1050666582,,perlin_873099211,abf cubic_spline,1,0,1,1,1,-6.753030801220916e-09,0.17470895,4.993369557449905,6.172476e-07,0.5516384,0.017616495955735445,0.31813373416662216,0.18003207
9,abf cubic_spline x  1 @ [1],1050666582,,perlin_873099211,abf cubic_spline,1,1,1,1,1,-7.518741185208455e-11,0.14303893,7.107595954345946,1.5602319e-07,0.73487926,0.02859087148681283,0.18717093393206596,0.16666906
10,abf cubic_spline x  1 @ [1],1050666582,,perlin_873099211,abf cubic_spline,1,2,1,1,1,-1.131235993767632e-08,0.06112117,6.512996122876832,7.0938405e-10,0.27383426,0.006781906588003039,0.10199076496064663,0.077737615
11,abf cubic_spline x  1 @ [1],1050666582,,perlin_873099211,abf cubic_spline,1,3,1,1,1,-5.6842468509898936e-09,0.035004903,9.61026716774109,3.6795098e-09,0.3200065,0.001068730023689568,0.04090261645615101,0.060708296
12,abf cubic_spline x  1 @ [1],1050666582,,perlin_46852263,abf cubic_spline,1,0,1,1,1,-2.8851385724948386e-09,0.18667594,5.708937442655992,1.7302362e-08,0.69499207,0.012816956965252757,0.3121502473950386,0.21169686
13,abf cubic_spline x  1 @ [1],1050666582,,perlin_46852263,abf cubic_spline,1,1,1,1,1,-8.790348404730253e-08,0.050033495,7.439022448286671,6.352292e-10,0.2774384,0.005267442553304136,0.0783757884055376,0.06099869
14,abf cubic_spline x  1 @ [1],1050666582,,perlin_46852263,abf cubic_spline,1,2,1,1,1,-4.4945194233037e-09,0.12340884,4.943716976836666,5.6854823e-09,0.3852304,0.009890238288789988,0.2267087623476982,0.12220501
15,abf cubic_spline x  1 @ [1],1050666582,,perlin_46852263,abf cubic_spline,1,3,1,1,1,1.2771408930412065e-08,0.10462222,8.135199902701627,1.7024204e-08,0.6809919,0.01621242519468069,0.11013931408524513,0.15453102
0,abf cubic_spline x  1 @ [1],651762289,,perlin_778030991,abf cubic_spline,1,0,1,1,1,-1.2302641128059122e-09,0.09272656,7.825869942106816,3.7601292e-10,0.56206906,0.006766659091226757,0.08443290181457996,0.14850539
1,abf cubic_spline x  1 @ [1],651762289,,perlin_778030991,abf cubic_spline,1,1,1,1,1,-1.6651271472767348e-09,0.084518366,6.376864592867238,3.7819454e-08,0.36697438,0.014813137706369162,0.1089075542986393,0.09737005
2,abf cubic_spline x  1 @ [1],651762289,,perlin_778030991,abf cubic_spline,1,2,1,1,1,-2.3676900440250392e-09,0.07527635,6.511298479295591,1.5838163e-10,0.3371247,0.01365944487042725,0.10587285086512566,0.082196705
3,abf cubic_spline x  1 @ [1],651762289,,perlin_778030991,abf cubic_spline,1,3,1,1,1,-1.3539271259688235e-08,0.04018388,8.219131732018546,2.1233853e-07,0.26666567,0.008974422933533788,0.04190493933856487,0.05676246
4,abf cubic_spline x  1 @ [1],651762289,,perlin_297699213,abf cubic_spline,1,0,1,1,1,-3.7989795753645694e-09,0.17091906,6.537950830306554,5.6000904e-10,0.7701657,0.04062351491302252,0.1989346705377102,0.19743241
5,abf cubic_spline x  1 @ [1],651762289,,perlin_297699213,abf cubic_spline,1,1,1,1,1,1.0663926408582824e-09,0.09859328,7.515168559991521,2.1903071e-08,0.5563687,0.007762161316350102,0.13285913690924644,0.12936537
6,abf cubic_spline x  1 @ [1],651762289,,perlin_297699213,abf cubic_spline,1,2,1,1,1,-4.511763629366783e-09,0.09622388,5.564592400419713,6.2281785e-08,0.34653246,0.009601621888577938,0.16518346220254898,0.09661248
7,abf cubic_spline x  1 @ [1],651762289,,perlin_297699213,abf cubic_spline,1,3,1,1,1,-1.7302453025891396e-08,0.06690459,8.393893277515506,5.209917e-09,0.46221456,0.005111393751576543,0.07497550919651985,0.0985171
8,abf cubic_spline x  1 @ [1],651762289,,perlin_873099211,abf cubic_spline,1,0,1,1,1,-6.4270981869896104e-09,0.17470896,4.993368974735246,6.182908e-07,0.5516374,0.017616317607462406,0.3181344121694565,0.18003203
