,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,dmcf x  1 @ [1],1050666582,,perlin_778030991,dmcf,1,0,1,1,1,0.03436480657797725,0.089540035,7.977737982438815,3.294085e-10,0.56207067,0.006766747334040701,0.08443256467580795,0.14324726
1,dmcf x  1 @ [1],1050666582,,perlin_778030991,dmcf,1,1,1,1,1,0.04368593532441367,0.0808261,6.57085962928647,3.7338147e-08,0.3669757,0.013890685280784965,0.10405200906097889,0.09555611
2,dmcf x  1 @ [1],1050666582,,perlin_778030991,dmcf,1,2,1,1,1,0.03479472433674757,0.07265714,6.665101629091206,1.9116975e-10,0.33712325,0.012038216460496187,0.1013715099543333,0.0822404
3,dmcf x  1 @ [1],1050666582,,perlin_778030991,dmcf,1,3,1,1,1,0.017328235090367516,0.03948756,8.295047379194502,2.133298e-07,0.26666456,0.008693910669535398,0.04226928576827049,0.055782836
4,dmcf x  1 @ [1],1050666582,,perlin_297699213,dmcf,1,0,1,1,1,0.017164831471307873,0.16798526,6.613143993232154,5.1031535e-10,0.7701679,0.04062401410192251,0.19001596793532372,0.1956104
5,dmcf x  1 @ [1],1050666582,,perlin_297699213,dmcf,1,1,1,1,1,0.029339510725028273,0.09570059,7.644495670466597,2.2222228e-08,0.5563703,0.007081922376528382,0.1302279233932495,0.12677832
6,dmcf x  1 @ [1],1050666582,,perlin_297699213,dmcf,1,2,1,1,1,0.020972858197608635,0.09420579,5.656644821657419,6.281917e-08,0.34653118,0.009601718978956342,0.16078105941414833,0.095367365
7,dmcf x  1 @ [1],1050666582,,perlin_297699213,dmcf,1,3,1,1,1,0.025169615431243186,0.065220624,8.504602688787644,5.4186877e-09,0.46221617,0.004985069157555699,0.0677714254707098,0.09742612
8,dmcf x  1 @ [1],1050666582,,perlin_873099211,dmcf,1,0,1,1,1,0.017046692012515186,0.17173074,5.068039555698914,6.204325e-07,0.55163556,0.017615989316254854,0.31504541635513306,0.17934076
9,dmcf x  1 @ [1],1050666582,,perlin_873099211,dmcf,1,1,1,1,1,0.025397451948232064,0.13940611,7.219320434643642,1.5452181e-07,0.734876,0.02829246176406741,0.1795511171221733,0.1627538
10,dmcf x  1 @ [1],1050666582,,perlin_873099211,dmcf,1,2,1,1,1,0.009760798146561722,0.060524583,6.555594553434462,6.2371797e-10,0.27383626,0.006615655962377787,0.09597617387771606,0.076708
11,dmcf x  1 @ [1],1050666582,,perlin_873099211,dmcf,1,3,1,1,1,-0.008820986229253425,0.03531368,9.572125862912273,3.4520187e-09,0.32000422,0.0010687962058000267,0.0409030020236969,0.06082051
