,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,fourier even x  1 @ [1],1050666582,,perlin_778030991,fourier even,1,0,1,1,1,-1.2428897022687124e-08,0.09272655,7.825869942106816,4.0109233e-10,0.5620682,0.006766612525098026,0.08443305641412735,0.14850536
1,fourier even x  1 @ [1],1050666582,,perlin_778030991,fourier even,1,1,1,1,1,-6.227164117689199e-09,0.084518366,6.376864592867238,3.806732e-08,0.36697376,0.014813276240602136,0.10890796594321728,0.097370006
2,fourier even x  1 @ [1],1050666582,,perlin_778030991,fourier even,1,2,1,1,1,-6.866862412024943e-09,0.07527636,6.511298479295591,1.4277239e-10,0.33712545,0.013659581076353788,0.10587247461080551,0.082196735
3,fourier even x  1 @ [1],1050666582,,perlin_778030991,fourier even,1,3,1,1,1,7.950552438629188e-09,0.040183876,8.219131732018546,2.1182147e-07,0.26666623,0.008974315132945776,0.041904677636921406,0.056762487
4,fourier even x  1 @ [1],1050666582,,perlin_297699213,fourier even,1,0,1,1,1,2.971608026314243e-08,0.17091906,6.537950830306554,5.8689403e-10,0.77016455,0.040623257867991924,0.1989344283938408,0.19743234
5,fourier even x  1 @ [1],1050666582,,perlin_297699213,fourier even,1,1,1,1,1,-7.176286009880073e-09,0.09859328,7.515168559991521,2.173722e-08,0.55636793,0.007762102293781936,0.13285959511995316,0.12936527
6,fourier even x  1 @ [1],1050666582,,perlin_297699213,fourier even,1,2,1,1,1,1.1997706272914854e-08,0.09622388,5.564592400419713,6.20019e-08,0.3465331,0.00960156973451376,0.165183924138546,0.09661254
7,fourier even x  1 @ [1],1050666582,,perlin_297699213,fourier even,1,3,1,1,1,-2.3860912357065445e-08,0.06690459,8.393893277515506,5.1291913e-09,0.4622138,0.005111303413286805,0.07497533038258553,0.098517165
8,fourier even x  1 @ [1],1050666582,,perlin_873099211,fourier even,1,0,1,1,1,-6.08226891074537e-09,0.17470896,4.993368974735246,6.172907e-07,0.5516384,0.017616488505154848,0.31813381612300873,0.18003206
9,fourier even x  1 @ [1],1050666582,,perlin_873099211,fourier even,1,1,1,1,1,2.2354692652548636e-08,0.14303893,7.107595954345946,1.5600153e-07,0.73487926,0.028590864036232233,0.18717091530561447,0.16666904
10,fourier even x  1 @ [1],1050666582,,perlin_873099211,fourier even,1,2,1,1,1,-3.1852609438942636e-10,0.06112117,6.512996122876832,7.080964e-10,0.27383426,0.006781908450648189,0.10199078731238842,0.077737615
11,fourier even x  1 @ [1],1050666582,,perlin_873099211,fourier even,1,3,1,1,1,-3.769689382870922e-08,0.035004903,9.61026716774109,3.6761856e-09,0.3200065,0.0010687308094929904,0.040902622044086456,0.060708296
12,fourier even x  1 @ [1],1050666582,,perlin_46852263,fourier even,1,0,1,1,1,-3.5691825051031856e-09,0.18667594,5.708937442655992,1.7296e-08,0.69499207,0.012816952774301171,0.312150202691555,0.21169688
13,fourier even x  1 @ [1],1050666582,,perlin_46852263,fourier even,1,1,1,1,1,-1.0095063385229253e-07,0.0500335,7.439022448286671,6.3401073e-10,0.2774384,0.005267440457828343,0.07837576791644096,0.06099869
14,fourier even x  1 @ [1],1050666582,,perlin_46852263,fourier even,1,2,1,1,1,1.915193692525463e-08,0.12340884,4.943716976836666,5.6896168e-09,0.3852303,0.00989024294540286,0.2267087772488594,0.122205004
15,fourier even x  1 @ [1],1050666582,,perlin_46852263,fourier even,1,3,1,1,1,-3.5304250634027312e-09,0.10462223,8.135199091003718,1.7031356e-08,0.68099195,0.01621242891997099,0.11013929173350334,0.15453102
0,fourier even x  1 @ [1],651762289,,perlin_778030991,fourier even,1,0,1,1,1,-4.5214381128033665e-09,0.09272656,7.825869942106816,3.7768533e-10,0.56206894,0.006766656064428389,0.08443290926516056,0.14850539
1,fourier even x  1 @ [1],651762289,,perlin_778030991,fourier even,1,1,1,1,1,1.6226140431285785e-09,0.084518366,6.376864592867238,3.783621e-08,0.36697432,0.014813147019594908,0.10890757665038109,0.09737005
2,fourier even x  1 @ [1],651762289,,perlin_778030991,fourier even,1,2,1,1,1,-6.789844908539067e-09,0.07527636,6.511298479295591,1.5729928e-10,0.33712476,0.013659453485161066,0.10587282851338387,0.082196705
3,fourier even x  1 @ [1],651762289,,perlin_778030991,fourier even,1,3,1,1,1,-1.348620837227088e-08,0.040183876,8.219131732018546,2.123035e-07,0.26666573,0.00897441548295319,0.041904923506081104,0.056762464
4,fourier even x  1 @ [1],651762289,,perlin_297699213,fourier even,1,0,1,1,1,6.2008733703322605e-09,0.17091906,6.537950830306554,5.618094e-10,0.77016556,0.0406234972178936,0.198934655636549,0.19743241
5,fourier even x  1 @ [1],651762289,,perlin_297699213,fourier even,1,1,1,1,1,1.3990101743743821e-08,0.09859328,7.515168559991521,2.1891822e-08,0.55636865,0.007762158056721091,0.13285916298627853,0.12936537
6,fourier even x  1 @ [1],651762289,,perlin_297699213,fourier even,1,2,1,1,1,-2.1015175155625343e-08,0.09622388,5.564592400419713,6.2262814e-08,0.34653252,0.00960161816328764,0.16518348827958107,0.09661249
7,fourier even x  1 @ [1],651762289,,perlin_297699213,fourier even,1,3,1,1,1,-6.444043743059069e-09,0.06690458,8.393893277515506,5.2044324e-09,0.46221447,0.0051113886293023825,0.07497550174593925,0.0985171
8,fourier even x  1 @ [1],651762289,,perlin_873099211,fourier even,1,0,1,1,1,-7.871942875325999e-09,0.17470895,4.993369557449905,6.182231e-07,0.55163753,0.017616330180317163,0.3181343525648117,0.18003203
9,fourier even x  1 @ [1],651762289,,perlin_873099211,fourier even,1,1,1,1,1,-7.305018812076014e-09,0.14303894,7.107595954345946,1.5553334e-07,0.73487824,0.02859075739979744,0.18717066571116447,0.16666889
