,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,fourier x  1 @ [1],1050666582,,perlin_778030991,fourier,1,0,1,1,1,-5.3402748889652685e-09,0.09272655,7.825869942106816,4.0155768e-10,0.56206816,0.006766611710190773,0.08443305641412735,0.14850536
1,fourier x  1 @ [1],1050666582,,perlin_778030991,fourier,1,1,1,1,1,-7.044052008353674e-10,0.084518366,6.376864592867238,3.8071853e-08,0.36697367,0.014813278103247285,0.10890796594321728,0.097370006
2,fourier x  1 @ [1],1050666582,,perlin_778030991,fourier,1,2,1,1,1,-5.907079048128594e-09,0.07527636,6.511298479295591,1.4249493e-10,0.33712545,0.013659583404660225,0.10587247461080551,0.082196735
3,fourier x  1 @ [1],1050666582,,perlin_778030991,fourier,1,3,1,1,1,2.5598261288450885e-09,0.040183872,8.219132535910711,2.1181202e-07,0.2666663,0.008974313968792558,0.041904671117663383,0.05676249
4,fourier x  1 @ [1],1050666582,,perlin_297699213,fourier,1,0,1,1,1,5.753468479419155e-09,0.17091906,6.537950830306554,5.873907e-10,0.77016455,0.04062325041741133,0.1989344283938408,0.19743234
5,fourier x  1 @ [1],1050666582,,perlin_297699213,fourier,1,1,1,1,1,1.870224830557987e-08,0.09859328,7.515168559991521,2.17342e-08,0.5563678,0.007762100547552109,0.13285959511995316,0.12936527
6,fourier x  1 @ [1],1050666582,,perlin_297699213,fourier,1,2,1,1,1,-2.6216992576877374e-08,0.09622388,5.564592400419713,6.1996786e-08,0.34653315,0.009601569036021829,0.165183924138546,0.09661255
7,fourier x  1 @ [1],1050666582,,perlin_297699213,fourier,1,3,1,1,1,5.387950752222537e-09,0.06690458,8.393893277515506,5.127724e-09,0.46221375,0.005111301084980369,0.07497533038258553,0.09851717
8,fourier x  1 @ [1],1050666582,,perlin_873099211,fourier,1,0,1,1,1,-9.874060014070096e-09,0.17470896,4.993368974735246,6.172724e-07,0.5516384,0.017616492230445147,0.31813373416662216,0.18003207
9,fourier x  1 @ [1],1050666582,,perlin_873099211,fourier,1,1,1,1,1,-8.918757066211924e-09,0.14303893,7.107595954345946,1.5601073e-07,0.73487926,0.02859086822718382,0.18717091530561447,0.16666906
10,fourier x  1 @ [1],1050666582,,perlin_873099211,fourier,1,2,1,1,1,5.721100260203116e-10,0.06112117,6.512996122876832,7.08642e-10,0.27383426,0.006781907752156258,0.10199078731238842,0.077737615
11,fourier x  1 @ [1],1050666582,,perlin_873099211,fourier,1,3,1,1,1,-3.0704119913238515e-08,0.0350049,9.61026785266295,3.6775942e-09,0.3200065,0.001068730460247025,0.04090262018144131,0.060708296
12,fourier x  1 @ [1],1050666582,,perlin_46852263,fourier,1,0,1,1,1,1.4187652719321875e-08,0.18667594,5.708937442655992,1.7298694e-08,0.69499207,0.012816955102607608,0.3121502473950386,0.21169688
