,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,fourier odd x  1 @ [1],1050666582,,perlin_778030991,fourier odd,1,0,1,1,1,-2.5531321501404136e-09,0.09272656,7.825869942106816,4.0201512e-10,0.56206816,0.006766611011698842,0.08443306386470795,0.14850536
1,fourier odd x  1 @ [1],1050666582,,perlin_778030991,fourier odd,1,1,1,1,1,-4.3624230894323546e-09,0.084518366,6.376864592867238,3.8076305e-08,0.36697367,0.014813279267400503,0.10890798643231392,0.097370006
2,fourier odd x  1 @ [1],1050666582,,perlin_778030991,fourier odd,1,2,1,1,1,1.5640093664615051e-09,0.07527636,6.511298479295591,1.4222268e-10,0.33712545,0.013659585267305374,0.10587245784699917,0.082196735
3,fourier odd x  1 @ [1],1050666582,,perlin_778030991,fourier odd,1,3,1,1,1,1.533840388034946e-09,0.040183872,8.219132535910711,2.1180277e-07,0.2666663,0.008974312338978052,0.04190466646105051,0.05676249
4,fourier odd x  1 @ [1],1050666582,,perlin_297699213,fourier odd,1,0,1,1,1,-2.267815046863575e-09,0.17091908,6.537950830306554,5.878788e-10,0.77016455,0.040623243898153305,0.1989344134926796,0.19743234
5,fourier odd x  1 @ [1],1050666582,,perlin_297699213,fourier odd,1,1,1,1,1,6.4757624818057025e-09,0.09859328,7.515168559991521,2.173123e-08,0.5563678,0.007762099849060178,0.13285961374640465,0.12936527
6,fourier odd x  1 @ [1],1050666582,,perlin_297699213,fourier odd,1,2,1,1,1,-1.0957200702321757e-08,0.09622388,5.564592400419713,6.1991784e-08,0.34653315,0.00960156787186861,0.16518395021557808,0.09661255
7,fourier odd x  1 @ [1],1050666582,,perlin_297699213,fourier odd,1,3,1,1,1,-1.3630405915066035e-08,0.06690459,8.393893277515506,5.1262816e-09,0.46221375,0.005111300153657794,0.07497532293200493,0.098517165
8,fourier odd x  1 @ [1],1050666582,,perlin_873099211,fourier odd,1,0,1,1,1,-6.213618952699562e-09,0.17470895,4.993369557449905,6.172545e-07,0.5516384,0.017616495955735445,0.31813373416662216,0.18003207
9,fourier odd x  1 @ [1],1050666582,,perlin_873099211,fourier odd,1,1,1,1,1,-4.4372328034114616e-10,0.14303893,7.107595954345946,1.5601974e-07,0.73487926,0.02859087148681283,0.18717093393206596,0.16666906
10,fourier odd x  1 @ [1],1050666582,,perlin_873099211,fourier odd,1,2,1,1,1,-1.1166738200785176e-08,0.06112117,6.512996122876832,7.091781e-10,0.27383426,0.006781907053664327,0.10199076496064663,0.077737615
11,fourier odd x  1 @ [1],1050666582,,perlin_873099211,fourier odd,1,3,1,1,1,-6.69575195288985e-09,0.0350049,9.61026785266295,3.678978e-09,0.3200065,0.0010687301401048899,0.04090261645615101,0.060708296
12,fourier odd x  1 @ [1],1050666582,,perlin_46852263,fourier odd,1,0,1,1,1,-2.477701821490541e-09,0.18667594,5.708937442655992,1.7301344e-08,0.69499207,0.012816956033930182,0.3121502473950386,0.21169686
13,fourier odd x  1 @ [1],1050666582,,perlin_46852263,fourier odd,1,1,1,1,1,-8.86264286403815e-08,0.050033495,7.439022448286671,6.3503425e-10,0.2774384,0.0052674420876428485,0.0783757884055376,0.06099869
14,fourier odd x  1 @ [1],1050666582,,perlin_46852263,fourier odd,1,2,1,1,1,-3.761034816918141e-09,0.12340884,4.943716976836666,5.686144e-09,0.3852304,0.009890239918604493,0.2267087623476982,0.12220501
15,fourier odd x  1 @ [1],1050666582,,perlin_46852263,fourier odd,1,3,1,1,1,1.2630640866539977e-08,0.10462223,8.135199091003718,1.7025348e-08,0.6809919,0.01621242519468069,0.11013931408524513,0.15453102
0,fourier odd x  1 @ [1],651762289,,perlin_778030991,fourier odd,1,0,1,1,1,-4.178265067267262e-09,0.09272656,7.825869942106816,3.7650555e-10,0.56206906,0.006766657927073538,0.08443290181457996,0.14850539
1,fourier odd x  1 @ [1],651762289,,perlin_778030991,fourier odd,1,1,1,1,1,-1.776346403303819e-09,0.084518366,6.376864592867238,3.7824396e-08,0.36697438,0.01481314143165946,0.1089075542986393,0.09737005
2,fourier odd x  1 @ [1],651762289,,perlin_778030991,fourier odd,1,2,1,1,1,-1.2421104145232675e-09,0.07527636,6.511298479295591,1.5806216e-10,0.3371247,0.013659448130056262,0.10587285086512566,0.0821967
3,fourier odd x  1 @ [1],651762289,,perlin_778030991,fourier odd,1,3,1,1,1,-3.3111569042176825e-09,0.04018388,8.219131732018546,2.123282e-07,0.26666567,0.008974420139566064,0.041904934681952,0.05676246
4,fourier odd x  1 @ [1],651762289,,perlin_297699213,fourier odd,1,0,1,1,1,-3.430781214674994e-09,0.17091908,6.537950830306554,5.605395e-10,0.7701657,0.040623508393764496,0.1989346705377102,0.19743244
5,fourier odd x  1 @ [1],651762289,,perlin_297699213,fourier odd,1,1,1,1,1,-1.2298799756393919e-09,0.09859328,7.515168559991521,2.1899755e-08,0.5563687,0.007762160850688815,0.13285913690924644,0.12936537
6,fourier odd x  1 @ [1],651762289,,perlin_297699213,fourier odd,1,2,1,1,1,-1.5243228901340444e-09,0.09622388,5.564592400419713,6.227619e-08,0.34653246,0.009601620025932789,0.16518346220254898,0.09661249
7,fourier odd x  1 @ [1],651762289,,perlin_297699213,fourier odd,1,3,1,1,1,5.3997378790526795e-09,0.06690459,8.393893277515506,5.2082996e-09,0.46221456,0.005111392820253968,0.07497550919651985,0.0985171
8,fourier odd x  1 @ [1],651762289,,perlin_873099211,fourier odd,1,0,1,1,1,-8.995640898845636e-09,0.17470896,4.993368974735246,6.1827086e-07,0.5516374,0.017616321332752705,0.3181344121694565,0.18003203
9,fourier odd x  1 @ [1],651762289,,perlin_873099211,fourier odd,1,1,1,1,1,6.543338426645562e-09,0.14303893,7.107595954345946,1.5550938e-07,0.7348781,0.028590751346200705,0.18717065081000328,0.16666886
10,fourier odd x  1 @ [1],651762289,,perlin_873099211,fourier odd,1,2,1,1,1,-6.36330166337018e-09,0.06112117,6.512996122876832,6.7911843e-10,0.27383497,0.006781953969039023,0.10199117287993431,0.0777376
11,fourier odd x  1 @ [1],651762289,,perlin_873099211,fourier odd,1,3,1,1,1,-3.548052407431612e-08,0.0350049,9.61026785266295,3.6009624e-09,0.32000577,0.0010687523754313588,0.040902748703956604,0.06070825
12,fourier odd x  1 @ [1],651762289,,perlin_46852263,fourier odd,1,0,1,1,1,-3.91563004242812e-09,0.18667594,5.708937442655992,1.715159e-08,0.6949932,0.012816877802833915,0.31214991211891174,0.21169706
13,fourier odd x  1 @ [1],651762289,,perlin_46852263,fourier odd,1,1,1,1,1,-9.11510755763345e-08,0.050033495,7.439022448286671,6.066068e-10,0.27743772,0.00526739505585283,0.07837545312941074,0.06099864
14,fourier odd x  1 @ [1],651762289,,perlin_46852263,fourier odd,1,2,1,1,1,-7.399411527941879e-09,0.12340884,4.943716976836666,5.7840723e-09,0.38522965,0.009890352608636022,0.22670907527208328,0.122205004
15,fourier odd x  1 @ [1],651762289,,perlin_46852263,fourier odd,1,3,1,1,1,2.655586861521897e-09,0.104622215,8.135199902701627,1.7194493e-08,0.68099284,0.016212509479373693,0.11013888195157051,0.1545311
0,fourier odd x  1 @ [1],741882590,,perlin_778030991,fourier odd,1,0,1,1,1,-4.2719161541526773e-11,0.09272655,7.825869942106816,3.9145373e-10,0.5620685,0.006766630103811622,0.08443299680948257,0.14850536
1,fourier odd x  1 @ [1],741882590,,perlin_778030991,fourier odd,1,1,1,1,1,-5.811687797674381e-09,0.084518366,6.376864592867238,3.7972907e-08,0.36697397,0.014813223155215383,0.10890780948102474,0.09737002
2,fourier odd x  1 @ [1],741882590,,perlin_778030991,fourier odd,1,2,1,1,1,4.174742773699336e-09,0.07527636,6.511298479295591,1.4861658e-10,0.33712512,0.013659529387950897,0.10587261989712715,0.08219671
3,fourier odd x  1 @ [1],741882590,,perlin_778030991,fourier odd,1,3,1,1,1,3.5395623099176987e-09,0.040183876,8.219131732018546,2.1201812e-07,0.26666605,0.008974356111139059,0.04190477542579174,0.05676248
4,fourier odd x  1 @ [1],741882590,,perlin_297699213,fourier odd,1,0,1,1,1,-2.1429376051429472e-08,0.17091908,6.537950830306554,5.7658944e-10,0.770165,0.04062335193157196,0.19893451035022736,0.19743238
5,fourier odd x  1 @ [1],741882590,,perlin_297699213,fourier odd,1,1,1,1,1,4.013000709512937e-09,0.09859328,7.515168559991521,2.1800258e-08,0.5563682,0.0077621242962777615,0.13285942003130913,0.12936531
6,fourier odd x  1 @ [1],741882590,,perlin_297699213,fourier odd,1,2,1,1,1,-1.0412603224096983e-08,0.09622388,5.564592400419713,6.210831e-08,0.34653288,0.00960158952511847,0.16518375650048256,0.09661253
7,fourier odd x  1 @ [1],741882590,,perlin_297699213,fourier odd,1,3,1,1,1,4.964104571847372e-09,0.06690458,8.393893277515506,5.1598352e-09,0.46221408,0.005111337406560779,0.07497540302574635,0.098517135
8,fourier odd x  1 @ [1],741882590,,perlin_873099211,fourier odd,1,0,1,1,1,-7.682235292350015e-09,0.17470893,4.993369557449905,6.1767116e-07,0.55163795,0.017616425175219774,0.31813400238752365,0.18003204
9,fourier odd x  1 @ [1],741882590,,perlin_873099211,fourier odd,1,1,1,1,1,7.712760430322874e-10,0.14303893,7.107595954345946,1.5581035e-07,0.7348787,0.02859082305803895,0.18717081099748611,0.16666898
10,fourier odd x  1 @ [1],741882590,,perlin_873099211,fourier odd,1,2,1,1,1,-2.074019178621711e-08,0.061121173,6.512996122876832,6.9677325e-10,0.2738346,0.006781926145777106,0.10199093259871006,0.07773761
11,fourier odd x  1 @ [1],741882590,,perlin_873099211,fourier odd,1,3,1,1,1,1.4866855524431344e-08,0.0350049,9.61026785266295,3.6468863e-09,0.32000616,0.0010687392204999924,0.040902670472860336,0.060708273
12,fourier odd x  1 @ [1],741882590,,perlin_46852263,fourier odd,1,0,1,1,1,-1.1907243857578464e-08,0.18667594,5.708937442655992,1.7239858e-08,0.6949926,0.012816924368962646,0.31215012818574905,0.21169695
13,fourier odd x  1 @ [1],741882590,,perlin_46852263,fourier odd,1,1,1,1,1,-7.594651174613887e-08,0.05003349,7.439023327720684,6.2329875e-10,0.2774381,0.0052674232283607125,0.07837565429508686,0.060998667
14,fourier odd x  1 @ [1],741882590,,perlin_46852263,fourier odd,1,2,1,1,1,-1.4148802573998864e-08,0.12340884,4.943716976836666,5.726198e-09,0.3852301,0.009890285786241293,0.22670888900756836,0.12220501
15,fourier odd x  1 @ [1],741882590,,perlin_46852263,fourier odd,1,3,1,1,1,1.341983302260985e-08,0.10462223,8.135199091003718,1.7094605e-08,0.68099225,0.01621246011927724,0.1101391352713108,0.15453105
0,fourier odd x  1 @ [1],844281085,,perlin_778030991,fourier odd,1,0,1,1,1,3.2324842802466947e-10,0.09272656,7.825869942106816,3.302257e-10,0.56207067,0.006766747334040701,0.08443260937929153,0.1485054
1,fourier odd x  1 @ [1],844281085,,perlin_778030991,fourier odd,1,1,1,1,1,-6.475122882321216e-09,0.084518366,6.376864592867238,3.734684e-08,0.3669757,0.01481287693604827,0.10890674963593483,0.09737013
2,fourier odd x  1 @ [1],844281085,,perlin_778030991,fourier odd,1,2,1,1,1,6.558419363145163e-09,0.07527635,6.511298479295591,1.9054812e-10,0.33712325,0.013659185729920864,0.10587355867028236,0.08219664
3,fourier odd x  1 @ [1],844281085,,perlin_778030991,fourier odd,1,3,1,1,1,-2.045745794987397e-09,0.040183876,8.219131732018546,2.133309e-07,0.26666456,0.008974625961855054,0.04190543480217457,0.056762416
4,fourier odd x  1 @ [1],844281085,,perlin_297699213,fourier odd,1,0,1,1,1,-2.1103425451585167e-08,0.17091908,6.537950830306554,5.102618e-10,0.7701679,0.04062400292605162,0.1989351138472557,0.1974326
5,fourier odd x  1 @ [1],844281085,,perlin_297699213,fourier odd,1,1,1,1,1,-1.898817991730084e-09,0.09859328,7.515168559991521,2.222258e-08,0.5563703,0.00776227586902678,0.1328582540154457,0.12936558
6,fourier odd x  1 @ [1],844281085,,perlin_297699213,fourier odd,1,2,1,1,1,-5.432136518379593e-09,0.09622388,5.564592400419713,6.281977e-08,0.34653118,0.009601719910278916,0.16518258303403854,0.09661237
7,fourier odd x  1 @ [1],844281085,,perlin_297699213,fourier odd,1,3,1,1,1,4.342811887880771e-09,0.06690458,8.393893277515506,5.366338e-09,0.46221602,0.0051115688402205706,0.07497586496174335,0.09851696
8,fourier odd x  1 @ [1],844281085,,perlin_873099211,fourier odd,1,0,1,1,1,-7.156425896326368e-09,0.17470895,4.993369557449905,6.202092e-07,0.55163556,0.01761599723249674,0.3181356117129326,0.18003197
