,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,linear x  1 @ [1],1050666582,,perlin_778030991,linear,1,0,1,1,1,-5.0189516986876015e-09,0.09272656,7.825869942106816,4.0253667e-10,0.56206816,0.006766609847545624,0.08443306386470795,0.14850536
1,linear x  1 @ [1],1050666582,,perlin_778030991,linear,1,1,1,1,1,-5.0518991212555875e-09,0.084518366,6.376864592867238,3.808138e-08,0.36697367,0.014813282759860158,0.10890798643231392,0.097370006
2,linear x  1 @ [1],1050666582,,perlin_778030991,linear,1,2,1,1,1,6.190100654279718e-10,0.07527636,6.511298479295591,1.4191272e-10,0.33712545,0.013659588759765029,0.10587245784699917,0.082196735
3,linear x  1 @ [1],1050666582,,perlin_778030991,linear,1,3,1,1,1,-8.171794352307415e-10,0.040183872,8.219132535910711,2.117922e-07,0.2666663,0.008974309545010328,0.04190466646105051,0.05676249
4,linear x  1 @ [1],1050666582,,perlin_297699213,linear,1,0,1,1,1,-2.0902481967510766e-09,0.17091908,6.537950830306554,5.8843524e-10,0.77016455,0.040623243898153305,0.1989344134926796,0.19743234
5,linear x  1 @ [1],1050666582,,perlin_297699213,linear,1,1,1,1,1,1.9922690164264623e-09,0.09859328,7.515168559991521,2.172785e-08,0.5563678,0.0077620986849069595,0.13285961374640465,0.12936527
6,linear x  1 @ [1],1050666582,,perlin_297699213,linear,1,2,1,1,1,-6.614454983733253e-09,0.09622388,5.564592400419713,6.198606e-08,0.34653315,0.009601566474884748,0.16518395021557808,0.09661255
7,linear x  1 @ [1],1050666582,,perlin_297699213,linear,1,3,1,1,1,1.111744030168893e-11,0.06690459,8.393893277515506,5.124639e-09,0.46221375,0.005111297941766679,0.07497532293200493,0.09851717
8,linear x  1 @ [1],1050666582,,perlin_873099211,linear,1,0,1,1,1,-7.4009038897315804e-09,0.17470895,4.993369557449905,6.172341e-07,0.5516384,0.017616495955735445,0.31813373416662216,0.18003207
9,linear x  1 @ [1],1050666582,,perlin_873099211,linear,1,1,1,1,1,3.818518723441855e-09,0.14303893,7.107595954345946,1.5603e-07,0.73487926,0.028590870089828968,0.18717093393206596,0.16666906
10,linear x  1 @ [1],1050666582,,perlin_873099211,linear,1,2,1,1,1,-8.234401827067472e-09,0.06112117,6.512996122876832,7.097892e-10,0.27383426,0.006781905889511108,0.10199076496064663,0.077737615
11,linear x  1 @ [1],1050666582,,perlin_873099211,linear,1,3,1,1,1,-1.503450719475552e-08,0.035004903,9.61026716774109,3.6805559e-09,0.3200065,0.0010687296162359416,0.04090261645615101,0.060708296
12,linear x  1 @ [1],1050666582,,perlin_46852263,linear,1,0,1,1,1,-4.35206959359391e-09,0.18667594,5.708937442655992,1.730436e-08,0.69499207,0.0128169571980834,0.3121502473950386,0.21169686
13,linear x  1 @ [1],1050666582,,perlin_46852263,linear,1,1,1,1,1,-9.017215263362743e-08,0.050033495,7.439022448286671,6.356126e-10,0.2774384,0.005267443368211389,0.0783757884055376,0.06099869
14,linear x  1 @ [1],1050666582,,perlin_46852263,linear,1,2,1,1,1,-5.8346694142841216e-09,0.12340884,4.943716976836666,5.6841833e-09,0.3852304,0.00989023712463677,0.2267087623476982,0.12220501
15,linear x  1 @ [1],1050666582,,perlin_46852263,linear,1,3,1,1,1,9.4541934281267e-09,0.10462222,8.135199902701627,1.7021954e-08,0.6809919,0.01621242519468069,0.11013931408524513,0.15453102
0,linear x  1 @ [1],651762289,,perlin_778030991,linear,1,0,1,1,1,-5.067883446230326e-09,0.09272656,7.825869942106816,3.7784514e-10,0.56206894,0.006766655365936458,0.08443290926516056,0.14850539
1,linear x  1 @ [1],651762289,,perlin_778030991,linear,1,1,1,1,1,1.5364906014170288e-09,0.084518366,6.376864592867238,3.783781e-08,0.36697432,0.014813148882240057,0.10890757665038109,0.09737005
2,linear x  1 @ [1],651762289,,perlin_778030991,linear,1,2,1,1,1,-7.262377144101606e-09,0.07527636,6.511298479295591,1.5719619e-10,0.33712476,0.013659455114975572,0.10587282851338387,0.082196705
3,linear x  1 @ [1],651762289,,perlin_778030991,linear,1,3,1,1,1,-1.2927425352415867e-08,0.040183876,8.219131732018546,2.1230015e-07,0.26666573,0.008974414551630616,0.041904923506081104,0.056762464
4,linear x  1 @ [1],651762289,,perlin_297699213,linear,1,0,1,1,1,6.217598547131331e-09,0.17091906,6.537950830306554,5.619813e-10,0.77016556,0.0406234972178936,0.198934655636549,0.19743241
5,linear x  1 @ [1],651762289,,perlin_297699213,linear,1,1,1,1,1,1.3262959397408736e-08,0.09859328,7.515168559991521,2.189075e-08,0.55636865,0.0077621572418138385,0.13285916298627853,0.12936537
6,linear x  1 @ [1],651762289,,perlin_297699213,linear,1,2,1,1,1,-2.0524390853537966e-08,0.09622388,5.564592400419713,6.2261e-08,0.34653252,0.009601616999134421,0.16518348827958107,0.09661249
7,linear x  1 @ [1],651762289,,perlin_297699213,linear,1,3,1,1,1,-3.014853477978363e-09,0.06690458,8.393893277515506,5.203909e-09,0.46221447,0.005111387697979808,0.07497550174593925,0.098517105
