,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_433611252,0,0.5414913061852111,0.007928852,27.706631119856105,2.046363e-08,0.020830812,0.002307032875251025,0.011647001141682267,0.005547249
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_433611252,1,0.6485809984411373,0.00073250406,37.78315026872421,1.3096724e-10,0.0024209039,0.00013738015695707873,0.0012551676773000509,0.00062558864
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_433611252,2,0.5984839969766687,0.0046701166,29.979740784458816,2.6672353e-10,0.017173506,0.0006646864349022508,0.00816906406544149,0.004746737
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_433611252,3,0.5900837018242348,0.0036897797,30.885402299468897,3.7294967e-10,0.015233026,0.00044317933497950435,0.005189421819522977,0.004576709
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_960745502,0,0.6982010306493909,0.0019165588,33.7970215707752,2.1173605e-09,0.008557259,0.00025053358695004135,0.0030778926447965205,0.0022303048
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_960745502,1,0.7765310401398581,0.0009384497,36.72874228323487,3.842615e-11,0.0037253194,0.00016778316057752818,0.0014948806201573461,0.0009568465
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_960745502,2,0.46828292653821024,0.0006767772,38.0658891741776,4.4019544e-10,0.0025154448,0.0001403914502589032,0.0009778460225788876,0.0006565672
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_960745502,3,-0.6536094265446306,0.00080457143,37.109566600489664,3.9547263e-06,0.0024205518,0.0003813545044977218,0.0012026389595121145,0.00048416518
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_759352143,0,0.5751826064684364,0.001654414,34.277528368491105,5.0226845e-10,0.0095696235,0.00036040550185134634,0.0017835047328844666,0.0021176515
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_759352143,1,0.5164107411044072,0.0007312687,37.69695489080017,1.7509194e-10,0.0024727471,0.0003115449144388549,0.00109284243080765,0.00053462567
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_759352143,2,0.7169041316645421,0.0005070478,39.261445985964755,2.046363e-12,0.0025441288,4.245765012456104e-05,0.0007654984074179083,0.0006409876
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_759352143,3,0.6387243086693819,0.00058045745,38.61495341854484,3.0291858e-10,0.0025095171,5.921699266764335e-05,0.0008504233992425725,0.0006059027
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_37078787,0,0.637426814911064,0.0018570197,33.74901436744641,9.024461e-10,0.010498057,0.0004871608252869919,0.0018461572472006083,0.0025305052
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_37078787,1,0.7783069693463172,0.00048710528,39.44191473047145,1.1768009e-10,0.0024250583,3.314039986435091e-05,0.0008290441473945975,0.0005734907
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_37078787,2,0.6840034758079762,0.0006875773,38.03972764294224,3.5527137e-11,0.0024997091,0.00015953011461533606,0.001112589641707018,0.0006111483
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,366911340,perlin_37078787,3,0.6643346249818971,0.0006298675,38.29211198975419,5.798597e-10,0.0030692276,0.00010618417582008988,0.0009243308159057051,0.00073540636
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_433611252,0,0.5715316037651231,0.0074093747,28.000917949640957,1.7308963e-09,0.019605404,0.0021501134615391493,0.010852803941816092,0.005192217
