,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,MLP x  5 @ [1],311383687,,perlin_778030991,MLP,5,0,10,2,1,-1.7052027756251968,0.006384186,28.276649078660782,2.1140706e-07,0.01555537,0.0045874431962147355,0.00808118749409914,0.00268848
1,MLP x  5 @ [1],311383687,,perlin_778030991,MLP,5,1,10,2,1,-13.977633902474487,0.010664758,25.942327807032427,1.4264907e-06,0.01629179,0.009108458179980516,0.013764633098617196,0.0039415006
2,MLP x  5 @ [1],311383687,,perlin_778030991,MLP,5,2,10,2,1,-4.851568384043718,0.008668924,26.927577677992055,3.4925781e-06,0.016121121,0.00512807397171855,0.012632700381800532,0.004049823
3,MLP x  5 @ [1],311383687,,perlin_778030991,MLP,5,3,10,2,1,-6.597627542988793,0.009272989,26.61354651485549,2.4596195e-06,0.016265446,0.0061907360795885324,0.013217298546805978,0.0040351553
4,MLP x  5 @ [1],311383687,,perlin_297699213,MLP,5,0,10,2,1,0.3684048309259673,0.0042648446,30.352728150959685,3.5811922e-09,0.015646078,0.0006456680712290108,0.006947988644242287,0.004051035
5,MLP x  5 @ [1],311383687,,perlin_297699213,MLP,5,1,10,2,1,-5.084990311620011,0.009120484,26.806270366888256,2.1881556e-07,0.0160391,0.006162732606753707,0.012011176208034158,0.0040066526
6,MLP x  5 @ [1],311383687,,perlin_297699213,MLP,5,2,10,2,1,-0.3671506458830722,0.005519741,29.07069519788579,1.2966084e-06,0.015772091,0.0024444900918751955,0.008158497978001833,0.004024442
7,MLP x  5 @ [1],311383687,,perlin_297699213,MLP,5,3,10,2,1,-0.888839153093369,0.0060875723,28.56471311368626,1.1190746e-06,0.015899362,0.0024638819159008563,0.008945229230448604,0.0037911462
8,MLP x  5 @ [1],311383687,,perlin_873099211,MLP,5,0,10,2,1,-0.9916389305515132,0.007528183,27.77301562264778,6.190248e-11,0.016279923,0.0017735785513650626,0.012094653444364667,0.0052151885
9,MLP x  5 @ [1],311383687,,perlin_873099211,MLP,5,1,10,2,1,-2.624770222967974,0.007667636,27.558755885436955,4.394667e-07,0.0162732,0.004129092674702406,0.011029059998691082,0.0040783756
10,MLP x  5 @ [1],311383687,,perlin_873099211,MLP,5,2,10,2,1,-6.199909299685287,0.009222643,26.707726015505735,2.4090298e-06,0.016324855,0.00690454849973321,0.012348896125331521,0.003933136
11,MLP x  5 @ [1],311383687,,perlin_873099211,MLP,5,3,10,2,1,-8.701010808986487,0.010133841,26.2472345585531,6.7250953e-06,0.016341552,0.006760694901458919,0.013474009465426207,0.0038277418
12,MLP x  5 @ [1],311383687,,perlin_46852263,MLP,5,0,10,2,1,0.8396239322429753,0.0024222974,32.957357185473356,9.094947e-13,0.015454847,0.0003185772875440307,0.00338812853442505,0.0032140021
13,MLP x  5 @ [1],311383687,,perlin_46852263,MLP,5,1,10,2,1,-4.348253398744743,0.008782947,26.849633559927483,2.7413353e-06,0.016185544,0.004851703066378832,0.012713726377114654,0.0043733977
14,MLP x  5 @ [1],311383687,,perlin_46852263,MLP,5,2,10,2,1,0.664276484699681,0.0034646196,31.27063703484506,3.326619e-10,0.016009642,0.00016759236677899025,0.005998484091833234,0.0044751423
15,MLP x  5 @ [1],311383687,,perlin_46852263,MLP,5,3,10,2,1,0.48088209359588574,0.003922945,30.55665200906254,3.6384904e-09,0.016023522,0.00028766674222424626,0.006725084502249956,0.0043966733
0,MLP x  5 @ [1],732181547,,perlin_778030991,MLP,5,0,10,2,1,0.8893915719275978,0.00026103208,42.160765101737184,6.6302164e-10,0.026079008,4.902671298623318e-05,8.655752208142076e-05,0.0021806615
1,MLP x  5 @ [1],732181547,,perlin_778030991,MLP,5,1,10,2,1,-0.4511190293684444,0.0010332629,36.07972864475514,4.106937e-12,0.026317805,1.2266380053915782e-05,8.127978617267217e-05,0.0048726844
2,MLP x  5 @ [1],732181547,,perlin_778030991,MLP,5,2,10,2,1,0.5643746085960922,0.000645366,38.20916852367376,3.842615e-11,0.026265383,3.56530208591721e-05,8.213482578867115e-05,0.0038012743
3,MLP x  5 @ [1],732181547,,perlin_778030991,MLP,5,3,10,2,1,0.4698430940335119,0.00064706244,38.17628214867996,3.274181e-11,0.026290698,4.245061700203223e-05,7.90008925832808e-05,0.003817233
4,MLP x  5 @ [1],732181547,,perlin_297699213,MLP,5,0,10,2,1,0.9675243681904545,0.00021929163,43.241538974798566,7.6520115e-07,0.028271679,5.4043703130446374e-06,2.9336024454096332e-05,0.002262844
5,MLP x  5 @ [1],732181547,,perlin_297699213,MLP,5,1,10,2,1,0.7090281320802369,0.00043612297,40.01036013457673,3.8361477e-06,0.02857713,1.5556386642856523e-05,4.2661759835027624e-05,0.0032095872
6,MLP x  5 @ [1],732181547,,perlin_297699213,MLP,5,2,10,2,1,0.9453395273426376,0.00022068649,43.05212536196551,5.974564e-07,0.028404526,1.0224331617791904e-05,2.4984460196719738e-05,0.002275674
7,MLP x  5 @ [1],732181547,,perlin_297699213,MLP,5,3,10,2,1,0.9318636055091658,0.00021959796,42.99287169680795,2.5665759e-06,0.028388295,9.766446282810648e-06,2.1425032173283398e-05,0.0022787787
8,MLP x  5 @ [1],732181547,,perlin_873099211,MLP,5,0,10,2,1,0.7776110344901817,0.00084060663,37.293989212476106,6.081742e-05,0.02991394,0.0004259417619323358,0.0005992317746859044,0.0030593032
9,MLP x  5 @ [1],732181547,,perlin_873099211,MLP,5,1,10,2,1,0.5970944168958303,0.00085228396,37.09952814714082,5.854466e-05,0.029729323,0.0004305928450776264,0.0005941213457845151,0.0030493904
10,MLP x  5 @ [1],732181547,,perlin_873099211,MLP,5,2,10,2,1,0.20134192591513866,0.0010230321,36.25738725210659,6.454501e-05,0.02992029,0.0003566359664546326,0.0005736301245633513,0.0037611932
11,MLP x  5 @ [1],732181547,,perlin_873099211,MLP,5,3,10,2,1,0.3692996165495832,0.00065884035,38.11717372880351,6.834403e-05,0.029856443,0.0004119787336094305,0.0005649436789099127,0.0021953047
12,MLP x  5 @ [1],732181547,,perlin_46852263,MLP,5,0,10,2,1,0.985719345580278,0.00021569298,43.46127176855427,8.185452e-12,0.025153423,6.247306146178744e-06,2.8983905849599978e-05,0.0021976691
13,MLP x  5 @ [1],732181547,,perlin_46852263,MLP,5,1,10,2,1,0.7470831072345729,0.0004153423,40.101974741360706,1.6270008e-10,0.02578078,8.484692216370604e-06,2.8332349302218063e-05,0.0031533753
14,MLP x  5 @ [1],732181547,,perlin_46852263,MLP,5,2,10,2,1,0.9787379282216616,0.0002194216,43.25439825371742,3.991829e-11,0.025502007,5.6658834637346445e-06,3.5701787965081166e-05,0.002228778
15,MLP x  5 @ [1],732181547,,perlin_46852263,MLP,5,3,10,2,1,0.9705785425141289,0.00022233631,43.02267024851378,3.5028336e-10,0.025538038,1.5529128177149687e-05,3.069174726988422e-05,0.0022311958
0,MLP x  5 @ [1],669925984,,perlin_778030991,MLP,5,0,10,2,1,-11.378348593088091,0.02921248,21.672019767088415,0.004261442,0.65503275,0.011952592991292477,0.03612325247377157,0.054432295
1,MLP x  5 @ [1],669925984,,perlin_778030991,MLP,5,1,10,2,1,-87.59426402641932,0.06308316,18.22270353238447,0.014084376,0.6567273,0.02990798093378544,0.053807683289051056,0.11483654
2,MLP x  5 @ [1],669925984,,perlin_778030991,MLP,5,2,10,2,1,-30.76776850763857,0.047063,19.580433027882375,0.0056996397,0.6566257,0.020253559574484825,0.04493809211999178,0.09151497
3,MLP x  5 @ [1],669925984,,perlin_778030991,MLP,5,3,10,2,1,-39.28273266626055,0.049165525,19.36913718335496,0.007446273,0.65670145,0.025862003210932016,0.04617343470454216,0.09137384
4,MLP x  5 @ [1],669925984,,perlin_297699213,MLP,5,0,10,2,1,-2.26906059019298,0.022074323,23.212885554036102,2.551701e-08,0.6699308,0.0023408971028402448,0.029033073224127293,0.056743376
5,MLP x  5 @ [1],669925984,,perlin_297699213,MLP,5,1,10,2,1,-26.98512019549854,0.04194548,20.179597230261585,0.004058171,0.67011505,0.025127867702394724,0.04262535087764263,0.07577656
6,MLP x  5 @ [1],669925984,,perlin_297699213,MLP,5,2,10,2,1,-5.1882164479720325,0.024984337,22.513203797610174,0.0004271428,0.6703904,0.010150093119591475,0.02915585646405816,0.05576936
7,MLP x  5 @ [1],669925984,,perlin_297699213,MLP,5,3,10,2,1,-7.830281043715143,0.028459266,21.86691755501836,0.0033593515,0.67004436,0.009731772355735302,0.034623077139258385,0.055712968
8,MLP x  5 @ [1],669925984,,perlin_873099211,MLP,5,0,10,2,1,-8.822705576000308,0.037128784,20.84281062642757,6.471561e-08,0.7201234,0.007135801017284393,0.048685972578823566,0.07914952
9,MLP x  5 @ [1],669925984,,perlin_873099211,MLP,5,1,10,2,1,-17.373717895850607,0.038866736,20.509590527270504,4.584763e-09,0.7196161,0.009578813565894961,0.04630564525723457,0.07804148
10,MLP x  5 @ [1],669925984,,perlin_873099211,MLP,5,2,10,2,1,-36.8252092048888,0.04845178,19.503182067885504,1.2777835e-05,0.72045445,0.01655476726591587,0.05392600130289793,0.09341529
11,MLP x  5 @ [1],669925984,,perlin_873099211,MLP,5,3,10,2,1,-35.62512343337635,0.038259227,20.47761391878324,0.00081932306,0.72011167,0.02009085938334465,0.04796039033681154,0.057232786
12,MLP x  5 @ [1],669925984,,perlin_46852263,MLP,5,0,10,2,1,-0.0010931640422582323,0.015120368,25.00400830357286,2.0463631e-10,0.64311,0.0006780266558052972,0.0167445233091712,0.055466495
13,MLP x  5 @ [1],669925984,,perlin_46852263,MLP,5,1,10,2,1,-24.80152126568051,0.04237148,20.015300241039448,0.008998389,0.6449667,0.015695517417043447,0.048161727376282215,0.075936906
14,MLP x  5 @ [1],669925984,,perlin_46852263,MLP,5,2,10,2,1,-0.8249155206636589,0.018832874,23.918026709770995,1.5853061e-09,0.6447293,0.002034427074249834,0.02394222468137741,0.05646631
15,MLP x  5 @ [1],669925984,,perlin_46852263,MLP,5,3,10,2,1,-1.4299195715298954,0.018362768,23.85339201424543,1.945466e-09,0.64493376,0.00044593028724193573,0.02380892029032111,0.05657587
0,MLP x  5 @ [1],519050267,,perlin_778030991,MLP,5,0,10,2,1,-37.837784188716434,0.091655836,16.70610241084666,0.022435058,0.2928775,0.054046918638050556,0.12570447847247124,0.04687651
1,MLP x  5 @ [1],519050267,,perlin_778030991,MLP,5,1,10,2,1,-220.0980318681027,0.15743187,14.250910608391923,0.05367536,0.29149672,0.11977500841021538,0.1952013410627842,0.053876176
2,MLP x  5 @ [1],519050267,,perlin_778030991,MLP,5,2,10,2,1,-84.9740814462233,0.12736803,15.25662442017628,0.028588215,0.29094243,0.0707367081195116,0.17450286448001862,0.06155639
