,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,MLP x  5 @ [1],627321926,,perlin_1043973644,MLP,5,0,10,2,1,0.5088561129747617,0.0048854174,29.940923533475527,4.039572e-08,0.21520495,0.00116712276940234,0.004523121519014239,0.017839164
1,MLP x  5 @ [1],627321926,,perlin_1043973644,MLP,5,1,10,2,1,-3.714066403783465,0.009954741,26.302950282946643,0.00068423967,0.21486786,0.003954941523261368,0.009704818716272712,0.024674384
2,MLP x  5 @ [1],627321926,,perlin_1043973644,MLP,5,2,10,2,1,0.14645768413944937,0.0051364023,29.493032832859456,6.07821e-09,0.21494423,0.0005110334604978561,0.005125338328070939,0.017870178
3,MLP x  5 @ [1],627321926,,perlin_1043973644,MLP,5,3,10,2,1,-0.3745062058541453,0.0052881003,29.09489672017404,0.0009556575,0.2142653,0.0025057505699805915,0.004198425216600299,0.017595649
4,MLP x  5 @ [1],627321926,,perlin_497191327,MLP,5,0,10,2,1,0.25327231901447333,0.007156902,28.29978618727634,1.1461907e-09,0.22295058,0.0010464880615472794,0.005887570674531162,0.025291044
5,MLP x  5 @ [1],627321926,,perlin_497191327,MLP,5,1,10,2,1,-1.3096600366566058,0.008144873,27.354007425872982,0.000528419,0.22279087,0.0020194457611069083,0.007667729281820357,0.02501788
6,MLP x  5 @ [1],627321926,,perlin_497191327,MLP,5,2,10,2,1,-0.4883353779329669,0.0064331763,28.52704365278462,1.6760225e-08,0.2226815,0.0016075620660558343,0.006833044579252601,0.018538205
7,MLP x  5 @ [1],627321926,,perlin_497191327,MLP,5,3,10,2,1,-1.5335709648614215,0.006879793,27.99825589969844,0.0005411273,0.22183815,0.004217356909066439,0.0070215038722381,0.017653558
8,MLP x  5 @ [1],627321926,,perlin_957427272,MLP,5,0,10,2,1,0.028723151679792003,0.0071931146,28.210278297645807,3.1974423e-12,0.2281465,0.0012385596055537462,0.0052882322343066335,0.025421785
9,MLP x  5 @ [1],627321926,,perlin_957427272,MLP,5,1,10,2,1,-2.493423365925836,0.010454195,26.272933887021015,0.0007774779,0.22851208,0.0021121527533978224,0.007717442116700113,0.030705735
10,MLP x  5 @ [1],627321926,,perlin_957427272,MLP,5,2,10,2,1,-1.4027097217322217,0.007517591,27.741540088320235,0.0003782727,0.22835733,0.0019027064263354987,0.007288969005458057,0.018456513
11,MLP x  5 @ [1],627321926,,perlin_957427272,MLP,5,3,10,2,1,-3.1112328651428856,0.007958185,27.249042217740328,0.0019210095,0.22736014,0.0034601687802933156,0.008324931375682354,0.017793816
12,MLP x  5 @ [1],627321926,,perlin_838546415,MLP,5,0,10,2,1,-0.924899847937622,0.008394504,27.35439604272453,2.3648283e-08,0.21455102,0.0017595839453861117,0.007685308810323477,0.024508104
13,MLP x  5 @ [1],627321926,,perlin_838546415,MLP,5,1,10,2,1,-8.315528677108128,0.011784474,25.594353795263153,0.0005765117,0.2149859,0.00406074954662472,0.010598894441500306,0.02959935
14,MLP x  5 @ [1],627321926,,perlin_838546415,MLP,5,2,10,2,1,-2.10078642311258,0.0071142507,27.839529507257783,0.00013027512,0.21467318,0.002060272148810327,0.008359751896932721,0.017559491
15,MLP x  5 @ [1],627321926,,perlin_838546415,MLP,5,3,10,2,1,-2.337170550372141,0.007324043,27.69211880473791,0.00026836924,0.2149753,0.0023735749418847263,0.008876927429810166,0.017541055
0,MLP x  5 @ [1],789173186,,perlin_1043973644,MLP,5,0,10,2,1,0.9556923362667765,0.00044072914,40.38822261707013,8.185452e-12,0.04609895,4.718137370218756e-05,0.00010554758773650974,0.0036498816
1,MLP x  5 @ [1],789173186,,perlin_1043973644,MLP,5,1,10,2,1,0.5377019961306578,0.0009762392,36.38768721617132,4.142811e-05,0.046137452,9.509521623840556e-05,0.0005532882059924304,0.0051324456
2,MLP x  5 @ [1],789173186,,perlin_1043973644,MLP,5,2,10,2,1,0.9241233349299561,0.00045660668,40.00420104277516,4.604317e-12,0.045967434,3.761905099963769e-05,0.00010992826355504803,0.0036515861
3,MLP x  5 @ [1],789173186,,perlin_1043973644,MLP,5,3,10,2,1,0.873653384456699,0.0004860899,39.460728162473075,4.9792154e-05,0.0456988,8.571336366003379e-05,0.00020713191042887047,0.0036137416
4,MLP x  5 @ [1],789173186,,perlin_497191327,MLP,5,0,10,2,1,0.9130283778594952,0.00083356677,37.63763270862821,9.094947e-11,0.048447967,1.4563059039574e-05,6.681946251774207e-05,0.0052104457
5,MLP x  5 @ [1],789173186,,perlin_497191327,MLP,5,1,10,2,1,0.7375766317090455,0.00092541974,36.79946271486704,1.31322395e-05,0.04823268,2.7557269277167507e-05,0.0005138114647706971,0.0051887594
6,MLP x  5 @ [1],789173186,,perlin_497191327,MLP,5,2,10,2,1,0.8715182410100133,0.0005553492,39.16563626621084,3.903686e-06,0.048409875,2.8949581519555068e-05,0.00026881198573391885,0.0038158987
7,MLP x  5 @ [1],789173186,,perlin_497191327,MLP,5,3,10,2,1,0.7719087571350141,0.000619371,38.454500925834765,1.0969289e-05,0.047812037,3.6291484320827294e-05,0.0005317152244970202,0.0036654028
