,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,dmcf x  1 @ [1],474063917,,perlin_778030991,dmcf,1,0,1,1,1,-1697.0974996134125,4.007452,0.2990208038223676,3.7142954,4.293094,3.8288811445236206,4.208183526992798,0.19459519
1,dmcf x  1 @ [1],474063917,,perlin_778030991,dmcf,1,1,1,1,1,-5620.27939330666,4.002608,0.19840739297599919,3.7135901,4.189708,3.9655070900917053,4.068659782409668,0.1061033
2,dmcf x  1 @ [1],474063917,,perlin_778030991,dmcf,1,2,1,1,1,-2702.300895141016,4.0048594,0.28135580969857055,3.7477942,4.2729015,3.877680480480194,4.145735859870911,0.1541426
3,dmcf x  1 @ [1],474063917,,perlin_778030991,dmcf,1,3,1,1,1,-3279.663331526762,4.0040865,0.2607091787309036,3.7809749,4.251816,3.8694469332695007,4.112082004547119,0.13991794
4,dmcf x  1 @ [1],474063917,,perlin_297699213,dmcf,1,0,1,1,1,-594.4023041709917,4.0204525,0.6090097940877395,3.5706959,4.6256843,3.7129327058792114,4.241660118103027,0.33083472
5,dmcf x  1 @ [1],474063917,,perlin_297699213,dmcf,1,1,1,1,1,-2670.968807330012,4.004879,0.3805556129381098,3.7667568,4.3716455,3.9037826657295227,4.113729476928711,0.15610884
6,dmcf x  1 @ [1],474063917,,perlin_297699213,dmcf,1,2,1,1,1,-992.8247239974318,4.0124736,0.455761162014022,3.5507267,4.456442,3.809275209903717,4.256593823432922,0.25431553
7,dmcf x  1 @ [1],474063917,,perlin_297699213,dmcf,1,3,1,1,1,-1243.2355412338015,4.0100684,0.37763647308825976,3.6254382,4.3743696,3.8545276522636414,4.187480926513672,0.2266804
8,dmcf x  1 @ [1],474063917,,perlin_873099211,dmcf,1,0,1,1,1,-1060.3534173746673,4.011803,0.5065222110119076,3.4960222,4.5080824,3.9151799082756042,4.134541273117065,0.24505012
9,dmcf x  1 @ [1],474063917,,perlin_873099211,dmcf,1,1,1,1,1,-1893.133772545894,4.0067444,0.377455047638495,3.7145605,4.3705606,3.840000808238983,4.138863444328308,0.1840914
