,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,fourier odd x  1 @ [1],281374809,,perlin_778030991,fourier odd,1,0,1,1,1,-1.7072221994330454,0.006388952,28.27340749051939,7.262912e-07,0.01564727,0.004557219217531383,0.008128946647047997,0.0027141506
1,fourier odd x  1 @ [1],281374809,,perlin_778030991,fourier odd,1,1,1,1,1,-13.955496463334546,0.010648996,25.948751440807285,2.517918e-06,0.016385866,0.009030380053445697,0.013720368035137653,0.00395027
2,fourier odd x  1 @ [1],281374809,,perlin_778030991,fourier odd,1,2,1,1,1,-4.851332222773696,0.008668574,26.927752291162356,5.113392e-06,0.016214676,0.00514093367382884,0.012571296421810985,0.0040615154
3,fourier odd x  1 @ [1],281374809,,perlin_778030991,fourier odd,1,3,1,1,1,-6.5954742594888085,0.009270363,26.614777368657645,3.844558e-06,0.016359417,0.006174421752803028,0.013147264486178756,0.004045296
4,fourier odd x  1 @ [1],281374809,,perlin_297699213,fourier odd,1,0,1,1,1,0.3691429423343813,0.0042598606,30.357806427945814,1.114131e-09,0.015738245,0.0006583629292435944,0.006907540373504162,0.0040320004
5,fourier odd x  1 @ [1],281374809,,perlin_297699213,fourier odd,1,1,1,1,1,-5.101142683813162,0.009144694,26.794757684667427,7.399685e-07,0.016132414,0.006137930671684444,0.012046803953126073,0.004038384
6,fourier odd x  1 @ [1],281374809,,perlin_297699213,fourier odd,1,2,1,1,1,-0.3689958600234047,0.005527192,29.064837016968703,2.344341e-06,0.01586463,0.002433433837722987,0.008178996155038476,0.0040468946
7,fourier odd x  1 @ [1],281374809,,perlin_297699213,fourier odd,1,3,1,1,1,-0.8868462971462341,0.0060811494,28.56929767747511,2.1033707e-06,0.0159923,0.002459935611113906,0.008946694666519761,0.0037973637
8,fourier odd x  1 @ [1],281374809,,perlin_873099211,fourier odd,1,0,1,1,1,-0.9881656186059757,0.007515054,27.78059615402103,6.508003e-10,0.016373936,0.001754337368765846,0.012072481447830796,0.0052180407
9,fourier odd x  1 @ [1],281374809,,perlin_873099211,fourier odd,1,1,1,1,1,-2.620296535310418,0.0076581724,27.56411958373231,1.1137844e-06,0.016367225,0.00411701702978462,0.011014316696673632,0.0040767766
10,fourier odd x  1 @ [1],281374809,,perlin_873099211,fourier odd,1,2,1,1,1,-6.190129215044566,0.009210116,26.713628657517372,3.7812433e-06,0.016418997,0.006958554731681943,0.012268933933228254,0.003926095
11,fourier odd x  1 @ [1],281374809,,perlin_873099211,fourier odd,1,3,1,1,1,-8.675583591994217,0.01010728,26.258632647375514,8.9145e-06,0.016435742,0.006818038877099752,0.013381195487454534,0.0038090507
12,fourier odd x  1 @ [1],281374809,,perlin_46852263,fourier odd,1,0,1,1,1,0.8391360020896004,0.002429667,32.944164252030156,1.8468427e-10,0.01554645,0.00031768250482855365,0.0034195201587863266,0.0032195256
13,fourier odd x  1 @ [1],281374809,,perlin_46852263,fourier odd,1,1,1,1,1,-4.3506343558405325,0.008786857,26.84770129055899,4.194856e-06,0.016279284,0.004809390171431005,0.012673204997554421,0.004396792
14,fourier odd x  1 @ [1],281374809,,perlin_46852263,fourier odd,1,2,1,1,1,0.6640412424907618,0.0034670476,31.26759413879874,3.6962433e-11,0.016102873,0.00017494619532953948,0.006003304850310087,0.0044666524
15,fourier odd x  1 @ [1],281374809,,perlin_46852263,fourier odd,1,3,1,1,1,0.48360932355891617,0.0039023354,30.579528709400655,2.7387301e-09,0.016116794,0.0002790104626910761,0.006685213535092771,0.0043891147
0,fourier odd x  1 @ [1],382379739,,perlin_778030991,fourier odd,1,0,1,1,1,-1.7040067537990233,0.0063813636,28.278568668405725,4.5736726e-08,0.0154979145,0.004612006014212966,0.008057137485593557,0.002672985
1,fourier odd x  1 @ [1],382379739,,perlin_778030991,fourier odd,1,1,1,1,1,-13.991752812789372,0.010674812,25.938235360611284,8.995178e-07,0.016233018,0.009157570777460933,0.013808171264827251,0.0039368295
2,fourier odd x  1 @ [1],382379739,,perlin_778030991,fourier odd,1,2,1,1,1,-4.8518291227238635,0.00866931,26.927383659241322,2.633854e-06,0.016062628,0.005119493929669261,0.012674861820414662,0.004043144
3,fourier odd x  1 @ [1],382379739,,perlin_778030991,fourier odd,1,3,1,1,1,-6.59911415992906,0.009274805,26.61269618776776,1.7487117e-06,0.016206693,0.006195863476023078,0.013248853385448456,0.004029506
4,fourier odd x  1 @ [1],382379739,,perlin_297699213,fourier odd,1,0,1,1,1,0.367917712060542,0.004268134,30.349379229091017,1.3536919e-08,0.015588454,0.0006369690963765606,0.006983153522014618,0.0040632654
5,fourier odd x  1 @ [1],382379739,,perlin_297699213,fourier odd,1,1,1,1,1,-5.074973559136493,0.00910547,26.81342516220937,4.921675e-08,0.015980756,0.006183201912790537,0.011986991623416543,0.00398723
6,fourier odd x  1 @ [1],382379739,,perlin_297699213,fourier odd,1,2,1,1,1,-0.3660342903473186,0.0055152345,29.074242946840254,7.970175e-07,0.015714236,0.002458701201248914,0.008130112430080771,0.0040107104
7,fourier odd x  1 @ [1],382379739,,perlin_297699213,fourier odd,1,3,1,1,1,-0.8901402203671895,0.006091766,28.561722575453867,6.5923757e-07,0.015841303,0.0024652720894664526,0.008943706983700395,0.003787747
8,fourier odd x  1 @ [1],382379739,,perlin_873099211,fourier odd,1,0,1,1,1,-0.9938610190647734,0.0075365826,27.768172313497587,2.7853275e-10,0.016221143,0.0017561527492944151,0.012091573094949126,0.005213848
9,fourier odd x  1 @ [1],382379739,,perlin_873099211,fourier odd,1,1,1,1,1,-2.62765498543094,0.0076737376,27.555301581158037,1.7388408e-07,0.016214464,0.004133731476031244,0.011048379819840193,0.004079967
10,fourier odd x  1 @ [1],382379739,,perlin_873099211,fourier odd,1,2,1,1,1,-6.206172910365912,0.009230667,26.703948974878166,1.7060962e-06,0.016265994,0.006868085125461221,0.012398251332342625,0.003938275
11,fourier odd x  1 @ [1],382379739,,perlin_873099211,fourier odd,1,3,1,1,1,-8.717116053363725,0.010150665,26.24003055958509,5.5100527e-06,0.01628266,0.006723641068674624,0.013530192896723747,0.0038401876
12,fourier odd x  1 @ [1],382379739,,perlin_46852263,fourier odd,1,0,1,1,1,0.8399192810335196,0.0024178363,32.965362389035285,1.0027179e-10,0.015397578,0.000320037426718045,0.003377340210136026,0.0032107686
13,fourier odd x  1 @ [1],382379739,,perlin_46852263,fourier odd,1,1,1,1,1,-4.346863357178223,0.008780665,26.850762902595193,1.9874487e-06,0.016126934,0.004882765701040626,0.012753319693729281,0.0043592853
14,fourier odd x  1 @ [1],382379739,,perlin_46852263,fourier odd,1,2,1,1,1,0.6644082646347346,0.0034632601,31.272341351329857,1.4784973e-10,0.015951352,0.00016277103713946417,0.00600951153319329,0.004480709
15,fourier odd x  1 @ [1],382379739,,perlin_46852263,fourier odd,1,3,1,1,1,0.4791503871291143,0.0039360314,30.54218867735734,4.0108716e-10,0.015965208,0.0002932823554147035,0.006754517555236816,0.004401656
