,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,rbf square x  1 @ [1],281374809,,perlin_778030991,rbf square,1,0,1,1,1,-1.707303167767635,0.006389143,28.273277750697847,7.5253195e-07,0.01565085,0.0045574522810056806,0.008131525944918394,0.002715172
1,rbf square x  1 @ [1],281374809,,perlin_778030991,rbf square,1,1,1,1,1,-13.954643471179361,0.010648388,25.94899866578575,2.5665759e-06,0.01638953,0.00902765546925366,0.013716570101678371,0.0039506434
2,rbf square x  1 @ [1],281374809,,perlin_778030991,rbf square,1,2,1,1,1,-4.8513268710953446,0.008668566,26.927756022174698,5.1826337e-06,0.01621832,0.005139006534591317,0.012567974627017975,0.0040619955
3,rbf square x  1 @ [1],281374809,,perlin_778030991,rbf square,1,3,1,1,1,-6.595395183489652,0.009270266,26.6148222362115,3.904628e-06,0.016363077,0.006176669965498149,0.013143546879291534,0.004045718
4,rbf square x  1 @ [1],281374809,,perlin_297699213,rbf square,1,0,1,1,1,0.3691707644654285,0.004259673,30.35799747171964,2.4592737e-09,0.015741834,0.0006587061798200011,0.006906658643856645,0.004031272
5,rbf square x  1 @ [1],281374809,,perlin_297699213,rbf square,1,1,1,1,1,-5.101774564951286,0.009145641,26.794307589652988,7.66453e-07,0.016136048,0.006135665928013623,0.012049714801833034,0.0040396363
6,rbf square x  1 @ [1],281374809,,perlin_297699213,rbf square,1,2,1,1,1,-0.3690690638657381,0.005527487,29.0646053848199,2.3913e-06,0.015868232,0.002433733898214996,0.008181583834812045,0.0040477808
7,rbf square x  1 @ [1],281374809,,perlin_297699213,rbf square,1,3,1,1,1,-0.8867705992876853,0.006080906,28.569471867892187,2.1478631e-06,0.01599592,0.0024590831017121673,0.008945071138441563,0.003797625
8,rbf square x  1 @ [1],281374809,,perlin_873099211,rbf square,1,0,1,1,1,-0.9880320808951506,0.0075145494,27.78088836129537,1.5853061e-09,0.016377598,0.0017548969481140375,0.012071217643097043,0.0052181697
9,rbf square x  1 @ [1],281374809,,perlin_873099211,rbf square,1,1,1,1,1,-2.6201252595863713,0.00765781,27.564325546970085,1.1462242e-06,0.016370885,0.00411558267660439,0.011013260344043374,0.0040767374
10,rbf square x  1 @ [1],281374809,,perlin_873099211,rbf square,1,2,1,1,1,-6.189753308737591,0.009209635,26.71385580803301,3.840819e-06,0.016422663,0.006960941711440682,0.01226616115309298,0.0039258497
11,rbf square x  1 @ [1],281374809,,perlin_873099211,rbf square,1,3,1,1,1,-8.674600206916613,0.0101062525,26.25907430148324,9.005849e-06,0.016439412,0.006820401642471552,0.013377445051446557,0.0038083524
12,rbf square x  1 @ [1],281374809,,perlin_46852263,rbf square,1,0,1,1,1,0.8391166152555734,0.0024299598,32.94364014934223,6.8780537e-12,0.015550018,0.00031715673685539514,0.0034204665571451187,0.0032197493
13,rbf square x  1 @ [1],281374809,,perlin_46852263,rbf square,1,1,1,1,1,-4.350730372150711,0.0087870145,26.847622966601648,4.257593e-06,0.016282935,0.004807476419955492,0.012674706755205989,0.0043977234
