,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_433611252,fourier,4,0,31586,7,32,0.9994893156783691,0.00041031532,39.204455569528704,6.229739e-10,0.007464018,1.4346651596497395e-05,0.00024091224622679874,0.0011184149
1,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_433611252,fourier,4,1,31586,7,32,0.9999746606040072,0.00023766163,48.91790610412124,5.1159077e-11,0.0026162334,2.72160250460729e-05,0.00031958022009348497,0.00030804533
2,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_433611252,fourier,4,2,31586,7,32,0.9999415583002554,0.00016831553,48.33698631673193,4.6171067e-11,0.005337734,9.502479088041582e-06,0.00023486691497964785,0.00027922328
3,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_433611252,fourier,4,3,31586,7,32,0.9999554197144537,0.00021619814,48.004216941460854,5.1159077e-11,0.004883749,7.7746476563334e-06,0.00016715349192963913,0.00047474302
4,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_960745502,fourier,4,0,31586,7,32,0.9998927948104485,8.178741e-05,44.258441416241745,2.2737368e-13,0.0023685535,7.0167760668482515e-06,8.579725908930413e-05,0.00016253885
5,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_960745502,fourier,4,1,31586,7,32,0.9998683253067161,0.00013451777,44.58601153869144,5.912071e-11,0.0037729465,1.4305133390735136e-05,0.00015872372387093492,0.00023098849
6,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_960745502,fourier,4,2,31586,7,32,0.9999475320427114,0.00013520749,46.97939359015871,9.094947e-13,0.0029536784,1.5720440387667622e-05,0.00016411654360126704,0.00021931378
7,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_960745502,fourier,4,3,31586,7,32,0.9999683835940234,9.362808e-05,49.2541869247875,8.5300655e-12,0.0022775354,9.433117384105572e-06,0.0001264637139684055,0.00014561854
8,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_759352143,fourier,4,0,31586,7,32,0.9998832539393008,5.4946406e-05,46.059359652015104,1.02673425e-10,0.0009821509,4.731807393909548e-06,6.672201925539412e-05,8.773981e-05
9,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_759352143,fourier,4,1,31586,7,32,0.9999167508825626,0.000127492,48.934396513466105,1.703917e-10,0.0025195119,8.757173873163993e-06,0.00015805506336619146,0.00021840789
10,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_759352143,fourier,4,2,31586,7,32,0.9999217048644075,9.699789e-05,47.22039492997417,9.094947e-13,0.0041381777,7.488970936719852e-06,0.00012144906395405997,0.00018107134
11,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_759352143,fourier,4,3,31586,7,32,0.9999412881204832,7.3048854e-05,47.42247668084108,6.004086e-13,0.0014549732,6.54683515222132e-06,8.459491255052853e-05,0.00012351549
12,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_37078787,fourier,4,0,31586,7,32,0.9998192391333409,9.992461e-05,46.604756352729936,9.606538e-12,0.003351742,4.145075081396499e-06,8.80137158674188e-05,0.00023496166
13,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_37078787,fourier,4,1,31586,7,32,0.9999284122345382,0.00013172533,46.72049362744569,1.7509194e-10,0.0052161543,6.215022608557774e-06,0.00011423476462368853,0.00035439755
14,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_37078787,fourier,4,2,31586,7,32,0.9999191662344722,0.00013521785,48.25893985578149,5.287859e-11,0.00334992,7.269039429047552e-06,0.00013634894276037812,0.00024043967
15,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_37078787,fourier,4,3,31586,7,32,0.9999395905303337,0.000107910615,48.353300119657504,1.3233503e-10,0.0019859402,8.664636425237404e-06,9.469341785006691e-05,0.0002133855
0,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_433611252,fourier,4,0,31586,7,32,0.9995927962866225,0.00032717257,40.1878640485367,4.2531667e-10,0.004081564,2.012229015235789e-05,0.0003090056125074625,0.00059204886
1,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_433611252,fourier,4,1,31586,7,32,0.99998793795667,0.00011313154,52.14166020024078,4.456524e-11,0.002071968,1.3300347291078651e-05,0.00013244359797681682,0.00019146716
2,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_433611252,fourier,4,2,31586,7,32,0.9999428242395639,0.00016466956,48.43209560643047,6.8780537e-12,0.004297783,9.933061392075615e-06,0.0001833316528063733,0.00028050525
3,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_433611252,fourier,4,3,31586,7,32,0.9999742584125504,0.00012483733,50.38929177190505,8.8689944e-11,0.0042075445,9.5189934654627e-06,0.00015134939167182893,0.00025568614
4,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_960745502,fourier,4,0,31586,7,32,0.9998792753859876,9.210146e-05,43.74264122246973,3.1974423e-12,0.0024686705,6.950744023015432e-06,9.173788566840813e-05,0.00018021355
5,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_960745502,fourier,4,1,31586,7,32,0.9999081296926903,9.385394e-05,46.14928351671173,6.8780537e-12,0.002213837,7.183222578532877e-06,0.00010859399299079087,0.00015450652
6,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_960745502,fourier,4,2,31586,7,32,0.9999565761874759,0.00011190114,47.801055842524285,1.7195134e-12,0.0030877474,1.0781720902741654e-05,0.00014241994722397067,0.00019141036
7,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_960745502,fourier,4,3,31586,7,32,0.9999797371298971,6.000598e-05,51.186302076372804,5.1301186e-12,0.0013634261,3.446061100476072e-06,6.0877866417285986e-05,0.0001154932
8,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_759352143,fourier,4,0,31586,7,32,0.9998302803810548,7.987836e-05,44.434461212909675,5.1159077e-13,0.0014262062,5.131570105731953e-06,8.258054549514782e-05,0.00013364719
9,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_759352143,fourier,4,1,31586,7,32,0.9999302658571161,0.00010679448,49.70373763289739,1.8417268e-11,0.0014184914,9.238252914656186e-06,0.00014221380115486681,0.00015786242
10,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_759352143,fourier,4,2,31586,7,32,0.9999472749658109,6.531973e-05,48.93757432514565,5.684342e-14,0.0014075306,4.008962605439592e-06,7.425703370245174e-05,0.00012075532
11,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_759352143,fourier,4,3,31586,7,32,0.9999548728786407,5.6146808e-05,48.565360042171676,6.379253e-11,0.001056589,5.074513751424092e-06,7.008405373198912e-05,9.274958e-05
12,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_37078787,fourier,4,0,31586,7,32,0.9998068724462851,0.0001067609,46.31735908015667,3.5527137e-13,0.003056007,6.81894948684203e-06,7.41823259886587e-05,0.0002774921
13,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_37078787,fourier,4,1,31586,7,32,0.9999573793728463,7.8424244e-05,48.97268394534387,1.7195134e-12,0.0024946933,6.2743760054218e-06,8.794495442998596e-05,0.00015037313
14,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_37078787,fourier,4,2,31586,7,32,0.9999503911310245,8.298519e-05,50.37927374518823,2.0520474e-11,0.0018232131,6.520637271023588e-06,9.823564869293477e-05,0.00014121461
15,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_37078787,fourier,4,3,31586,7,32,0.999956898372199,7.699328e-05,49.81941414474506,5.684342e-14,0.00149155,3.9207222926052054e-06,6.0908563682460226e-05,0.0001605789
0,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_433611252,fourier,4,0,31586,7,32,0.9997994738158517,0.00016111511,43.264270066879945,6.963319e-13,0.0016527625,1.787395194696728e-05,0.00020375315580167808,0.00022668579
1,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_433611252,fourier,4,1,31586,7,32,0.9999901978553085,9.193565e-05,53.04265776445166,7.781864e-11,0.001791266,8.249827033068868e-06,0.00011927093328267802,0.00014516492
2,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_433611252,fourier,4,2,31586,7,32,0.9999698782880868,8.67523e-05,51.21541947037507,4.3272408e-10,0.0019461812,9.078259154193802e-06,9.75650818872964e-05,0.00015721058
3,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_433611252,fourier,4,3,31586,7,32,0.9999784113031657,0.000104697305,51.153381575696024,2.82526e-10,0.00212118,7.93418462308182e-06,8.959306433098391e-05,0.00021360624
4,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_960745502,fourier,4,0,31586,7,32,0.9999188122914413,6.193854e-05,45.46569613733216,6.05036e-11,0.0023258734,8.517194828527863e-06,7.905546772235539e-05,0.00011915228
5,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_960745502,fourier,4,1,31586,7,32,0.9998957897390421,0.000106460335,45.601930407775214,7.366907e-11,0.0035342919,8.46993953018682e-06,0.00012330945901339874,0.00019649163
6,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_960745502,fourier,4,2,31586,7,32,0.9999494552780063,0.0001302514,47.14157710219141,2.4016344e-12,0.004451623,1.561386034154566e-05,0.00015403583529405296,0.00024200817
7,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_960745502,fourier,4,3,31586,7,32,0.9999606969308764,0.00011639117,48.30904709698363,9.555379e-11,0.0066510444,8.851080337990425e-06,0.00013700240742764436,0.00025475066
8,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_759352143,fourier,4,0,31586,7,32,0.9998721923716227,6.0152524e-05,45.66621371215358,5.1159077e-13,0.0014289537,6.877311420794285e-06,8.154549504979514e-05,9.3894894e-05
9,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_759352143,fourier,4,1,31586,7,32,0.9999378621318271,9.5161144e-05,50.20462947172607,3.769074e-11,0.0069346596,5.691429919352231e-06,9.073530054592993e-05,0.00028480348
10,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_759352143,fourier,4,2,31586,7,32,0.9999337956053753,8.201897e-05,47.948874437980834,1.537046e-10,0.0037585644,6.927296794856375e-06,9.349025276605971e-05,0.00016577785
11,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_759352143,fourier,4,3,31586,7,32,0.999949027180911,6.341998e-05,48.03634870132257,7.781864e-11,0.001069372,4.5724785877609975e-06,7.572161484858952e-05,0.00010997864
12,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_37078787,fourier,4,0,31586,7,32,0.999788930891778,0.00011667899,45.93155388393377,2.7259617e-10,0.0067004655,6.026274263604137e-06,7.343481775023974e-05,0.00037302828
13,"fourier x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_37078787,fourier,4,1,31586,7,32,0.9999476386184087,9.634775e-05,48.07877081738159,2.0520474e-11,0.0023107205,5.4213585372053785e-06,9.904012586048339e-05,0.00018843608
