,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_433611252,linear,4,0,31586,7,32,0.9987145109667308,0.0010328412,35.19529804345916,3.842615e-11,0.030938372,6.610108175664209e-05,0.0011871553724631667,0.0020013344
1,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_433611252,linear,4,1,31586,7,32,0.9998847933500445,0.0010805388,42.34109261995385,6.8780537e-12,0.02492017,0.00011225328489672393,0.0010848030797205865,0.0021949608
2,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_433611252,linear,4,2,31586,7,32,0.9996698620426877,0.00095081667,40.817260619442386,2.0463631e-10,0.011753012,9.76095052465098e-05,0.0011008015717379749,0.0013916641
3,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_433611252,linear,4,3,31586,7,32,0.9997202172500319,0.0013568443,40.0274360077379,6.571099e-11,0.02890497,6.438710988732055e-05,0.0013719987764488906,0.0027545353
4,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_960745502,linear,4,0,31586,7,32,0.9986716959757813,0.0010133702,33.327624479697214,1.7826096e-10,0.050276015,6.085284530854551e-05,0.0009263270767405629,0.0026941514
5,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_960745502,linear,4,1,31586,7,32,0.9991170259179173,0.000902039,36.321555484475915,9.094947e-13,0.035169482,5.318854528013617e-05,0.0008784033416304737,0.0019812637
6,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_960745502,linear,4,2,31586,7,32,0.9996098830024395,0.0010053134,38.266386969533144,1.8828814e-09,0.034340106,7.153012666094583e-05,0.0011126869940198958,0.002278617
7,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_960745502,linear,4,3,31586,7,32,0.9996355614132227,0.0010792399,38.63706811233548,9.094947e-11,0.04907732,8.275721847894602e-05,0.0008426195272477344,0.0031060788
8,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_759352143,linear,4,0,31586,7,32,0.9978652190396714,0.0010047323,33.43824887971583,2.6284397e-10,0.030748859,4.517952766036615e-05,0.0007978492940310389,0.0026284826
9,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_759352143,linear,4,1,31586,7,32,0.9993879488034424,0.0009373269,40.27031498348214,8.1854523e-10,0.03692469,4.801324666914297e-05,0.0009249307331629097,0.0022689344
10,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_759352143,linear,4,2,31586,7,32,0.9993721065633585,0.0007778815,38.17888305927717,6.963319e-11,0.04939442,3.2829222618602216e-05,0.0007872910937294364,0.002331455
11,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_759352143,linear,4,3,31586,7,32,0.9995485931943704,0.0005616368,38.56405450792121,3.274181e-11,0.027721249,4.422092479217099e-05,0.000560444692382589,0.0013293107
12,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_37078787,linear,4,0,31586,7,32,0.9980296946526398,0.0010891847,36.2304655374568,5.0226845e-10,0.048996963,9.183153451886028e-05,0.0006381791463354602,0.0034830621
13,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_37078787,linear,4,1,31586,7,32,0.9993991323056994,0.0011056288,37.481093569890376,5.287859e-11,0.044262737,0.000104876320619951,0.00117011385736987,0.0026395267
14,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_37078787,linear,4,2,31586,7,32,0.9995322713048052,0.00078241155,40.63492784829301,9.094947e-11,0.026274193,8.308088945341296e-05,0.000787800207035616,0.0017284134
15,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,,perlin_37078787,linear,4,3,31586,7,32,0.9994835078494864,0.00092261995,39.03371329338396,9.094947e-13,0.027439333,5.220029652264202e-05,0.0009473509271629155,0.0022320242
0,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_433611252,linear,4,0,31586,7,32,0.9953589503089841,0.0037289057,29.61981890291557,9.606538e-12,0.16802187,0.0002227371442131698,0.004011041251942515,0.007820613
1,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_433611252,linear,4,1,31586,7,32,0.9996156997831045,0.0036044037,37.109162659815375,3.3842298e-09,0.14145699,0.00033827326842583716,0.004024871275760233,0.008511535
2,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_433611252,linear,4,2,31586,7,32,0.9986001055689542,0.0040317783,34.54326269676982,8.0495965e-10,0.19102447,0.0002883910929085687,0.0035565446014516056,0.011562402
3,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_433611252,linear,4,3,31586,7,32,0.9994331376371174,0.0027490759,36.96086887570481,1.4210855e-10,0.10035189,0.0001745716763252858,0.0023443361278623343,0.006323642
4,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_960745502,linear,4,0,31586,7,32,0.9945811604720689,0.0041340617,27.221536092981033,1.2619807e-09,0.11535575,0.00021855723025510088,0.004314412479288876,0.007834459
5,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_960745502,linear,4,1,31586,7,32,0.9975082763921347,0.002545524,31.816036681694364,9.094947e-09,0.1277325,0.00011534529767232016,0.002015076228417456,0.0069319936
6,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_960745502,linear,4,2,31586,7,32,0.9991414836959457,0.0022123568,34.84084930468659,7.517542e-12,0.16351882,0.0001064072384906467,0.0017933853378053755,0.006414229
7,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_960745502,linear,4,3,31586,7,32,0.9993725657841324,0.0018580687,36.277629458686775,4.1438852e-11,0.080222376,7.893150905147195e-05,0.0017050425813067704,0.005352782
8,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_759352143,linear,4,0,31586,7,32,0.9955582709912405,0.0020904948,30.256261496172968,1.7209913e-09,0.17888355,0.00011463933878985699,0.0018691976147238165,0.010085356
9,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_759352143,linear,4,1,31586,7,32,0.9987256866579776,0.0019515494,37.08543032299766,5.459242e-10,0.19251722,0.0001724825197015889,0.00149964023148641,0.0080157425
10,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_759352143,linear,4,2,31586,7,32,0.9986225506584753,0.0017064875,34.766985870997196,2.877698e-11,0.33933082,6.630959796893876e-05,0.0010567866265773773,0.011307899
11,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_759352143,linear,4,3,31586,7,32,0.9991024538833426,0.0011167198,35.57916781194053,2.5067948e-09,0.08792015,5.2177501856931485e-05,0.0010324196773581207,0.0042204736
12,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_37078787,linear,4,0,31586,7,32,0.9969456583430267,0.0016884399,34.32662493613347,6.148184e-10,0.18272576,5.159520424058428e-05,0.0008436388889094815,0.008936144
13,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_37078787,linear,4,1,31586,7,32,0.9989076002780801,0.002010074,34.88506620029528,6.4173946e-09,0.17554025,0.0001672074431553483,0.0013315979158505797,0.008008343
14,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_37078787,linear,4,2,31586,7,32,0.9988936147712943,0.0018507495,36.89580420773565,4.6171067e-11,0.13180703,9.427280383533798e-05,0.001173123688204214,0.0073855636
15,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,,perlin_37078787,linear,4,3,31586,7,32,0.9992673014068887,0.0013088338,37.515096023793156,1.9787194e-10,0.1082967,9.645909813116305e-05,0.0011971081548836082,0.004875287
0,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_433611252,linear,4,0,31586,7,32,0.9992482267665357,0.00060402096,37.52511339819635,1.0668941e-09,0.02077263,0.00010571298844297417,0.0007928501290734857,0.0009909418
1,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_433611252,linear,4,1,31586,7,32,0.9999490143125636,0.0004782017,45.88138621941903,1.9122126e-10,0.02406514,3.6983487916586455e-05,0.000471002706035506,0.0012750376
2,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_433611252,linear,4,2,31586,7,32,0.999848366057767,0.00043671465,44.196251742944035,1.2789769e-11,0.020495499,2.2521593564306386e-05,0.0004897111357422546,0.0012381292
3,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_433611252,linear,4,3,31586,7,32,0.9998491709117013,0.0007314661,42.710794601339,7.194245e-12,0.025829269,3.391448535694508e-05,0.0006367239111568779,0.0016859793
4,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_960745502,linear,4,0,31586,7,32,0.9996213842366828,0.00028884798,38.77861258978282,2.2737368e-13,0.015426022,3.9050883970048744e-05,0.0002529929915908724,0.00080960756
5,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_960745502,linear,4,1,31586,7,32,0.9995922868633603,0.00041651633,39.67748885622723,4.106937e-12,0.017871039,1.7196605767821893e-05,0.0004229236365063116,0.0010719866
6,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_960745502,linear,4,2,31586,7,32,0.9997998907820783,0.00051567215,41.16566435199005,4.0108716e-10,0.05221852,2.6956676265399437e-05,0.0003186347457813099,0.002336402
7,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_960745502,linear,4,3,31586,7,32,0.9998736808073293,0.00037407866,43.238618318716114,2.3022473e-11,0.06873003,1.514456698714639e-05,0.000253191617957782,0.0017500842
8,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_759352143,linear,4,0,31586,7,32,0.999345980025047,0.0003078138,38.57587135414494,1.7195134e-12,0.016213415,3.518220819387352e-05,0.00030522598535753787,0.0008092283
9,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_759352143,linear,4,1,31586,7,32,0.9998477308101789,0.00023319293,46.31207206645294,1.542876e-09,0.018470889,2.688169297471177e-05,0.00019302809960208833,0.0007982265
10,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_759352143,linear,4,2,31586,7,32,0.9998230215726371,0.00021925416,43.678538858853315,1.547562e-11,0.0145685915,1.6705669168004533e-05,0.00021734467736678198,0.00059816235
11,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_759352143,linear,4,3,31586,7,32,0.9998386459356516,0.00020075547,43.03193665497486,9.240608e-12,0.020340336,9.244005241271225e-06,0.00013556898920796812,0.00069324794
12,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_37078787,linear,4,0,31586,7,32,0.9991622611619437,0.000463102,39.944714567848905,2.5899283e-12,0.017007083,2.6252237603330286e-05,0.00048748398694442585,0.0011490941
13,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_37078787,linear,4,1,31586,7,32,0.9998179304827366,0.00033501768,42.66650964935917,1.1510792e-10,0.027070055,1.9405137663852656e-05,0.00028033517446601763,0.0010149755
14,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",31069755,,perlin_37078787,linear,4,2,31586,7,32,0.9998088059571338,0.00031982735,44.5201238757989,6.004086e-13,0.008511292,2.2296170754998457e-05,0.00026184573653154075,0.00069450744
