,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_433611252,linear,4,0,31586,7,32,0.6366367538352227,0.29194844,10.682571151938923,4.1354963e-07,1.2228156,0.0038763374323025346,0.4986041411757469,0.3862736
1,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_433611252,linear,4,1,31586,7,32,0.9926941847619819,0.06852223,24.319182255399674,9.485589e-09,0.43614945,0.006313777063041925,0.0894099622964859,0.10252252
2,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_433611252,linear,4,2,31586,7,32,0.9390520138267265,0.17553377,18.154621944966504,1.1174161e-07,0.88167244,0.03258922137320042,0.2677810937166214,0.17707703
3,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_433611252,linear,4,3,31586,7,32,0.9637569941751541,0.17576537,18.903403722524473,5.874093e-07,1.718285,0.018057581037282944,0.12536772340536118,0.32492882
4,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_960745502,linear,4,0,31586,7,32,0.6371510262812092,0.27681944,8.963339909124086,8.501012e-09,0.78657144,0.08159089647233486,0.4123693034052849,0.2102356
5,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_960745502,linear,4,1,31586,7,32,0.7921581116593622,0.21232954,12.603704336060256,1.2670677e-07,0.5049644,0.04761509969830513,0.341593861579895,0.16228542
6,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_960745502,linear,4,2,31586,7,32,0.979798867652825,0.052057378,21.124578287170387,4.855e-09,0.19943811,0.007235616794787347,0.0795061532407999,0.06029863
7,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_960745502,linear,4,3,31586,7,32,0.9926896806630329,0.021648604,25.613948772315513,1.9140458e-09,0.25990814,0.001801494916435331,0.011804243316873908,0.04728488
8,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_759352143,linear,4,0,31586,7,32,0.6576748568606529,0.16111496,11.38739399481549,1.7073569e-07,0.7727969,0.01804776582866907,0.27213988453149796,0.2019965
9,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_759352143,linear,4,1,31586,7,32,0.9358421747566702,0.09825462,20.065695947966123,7.413314e-08,0.7912943,0.011829068884253502,0.09868838638067245,0.16477367
10,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_759352143,linear,4,2,31586,7,32,0.9452673547316106,0.0678069,18.775278606793943,2.3309354e-09,0.20495814,0.015038053039461374,0.1175239272415638,0.06252948
11,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_759352143,linear,4,3,31586,7,32,0.9657007917704664,0.042674806,19.756895575531036,2.206258e-08,0.1808548,0.007821305422112346,0.059491957537829876,0.045008797
12,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_37078787,linear,4,0,31586,7,32,0.6544675017346024,0.19101036,13.790911992728489,2.0467894e-08,1.5416675,0.014437038218602538,0.16154081374406815,0.343324
13,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_37078787,linear,4,1,31586,7,32,0.9282635772060223,0.13199887,16.71148496362884,2.938583e-08,0.76953906,0.018128149677067995,0.1824188008904457,0.16297242
14,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_37078787,linear,4,2,31586,7,32,0.9581152621783502,0.070064336,21.11431014033958,1.9475698e-07,0.7450878,0.006758440867997706,0.06720361299812794,0.13893588
15,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",843595861,poly6,perlin_37078787,linear,4,3,31586,7,32,0.9668851496299491,0.0591537,20.96412276451887,8.81295e-09,0.8393387,0.007471404271200299,0.038534398190677166,0.12995413
0,"linear x  4 @ [32, 32, 32, 32, 32, 32, 1]",333047626,poly6,perlin_433611252,linear,4,0,31586,7,32,0.6315472973823502,0.2960376,10.622164116007413,5.0796173e-10,1.1882443,0.004696114570833743,0.5094648450613022,0.38306555
