-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               LinearCG        20.82%      36.686ms        88.03%     155.105ms      38.776ms       0.000us         0.00%      52.781ms      13.195ms          -4 b          -3 b     872.00 Kb       6.86 Mb             4  
                                       cudaLaunchKernel        14.51%      25.559ms        14.51%      25.559ms       6.168us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4144  
                                     aten::scatter_add_         6.78%      11.940ms         8.92%      15.720ms      29.549us      13.383ms        22.11%      13.383ms      25.156us           0 b           0 b      -1.16 Gb      -1.16 Gb           532  
                                              aten::mul         5.74%      10.116ms         8.06%      14.206ms      21.655us      24.370ms        40.26%      24.370ms      37.149us           0 b           0 b       1.06 Gb       1.06 Gb           656  
                                            aten::empty         4.48%       7.893ms         4.48%       7.893ms       6.166us       0.000us         0.00%       0.000us       0.000us     873.15 Kb     873.15 Kb     882.33 Mb     882.33 Mb          1280  
                                              aten::dot         4.19%       7.381ms         8.60%      15.158ms      39.474us       2.068ms         3.42%       2.068ms       5.385us           0 b           0 b     192.00 Kb           0 b           384  
                                            aten::index         3.82%       6.726ms         9.07%      15.985ms      50.585us       7.631ms        12.61%       8.242ms      26.082us           0 b           0 b    -461.74 Mb      -1.28 Gb           316  
                                            aten::zeros         3.43%       6.037ms        11.77%      20.746ms      36.784us       0.000us         0.00%       1.245ms       2.207us          48 b           0 b     128.78 Mb           0 b           564  
                                        cudaMemcpyAsync         3.13%       5.510ms         3.13%       5.510ms      27.010us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           204  
                                             aten::add_         2.96%       5.222ms         4.64%       8.172ms      15.477us       1.672ms         2.76%       1.672ms       3.167us           0 b           0 b     -56.20 Mb     -56.20 Mb           528  
